"source","translation_en_US"
"Needs your commander selected.","Needs your commander selected."
"Automatic gates open for your own troops and shut behind them.","Automatic gates open for your own troops and shut behind them."
"Select one of your own gates.","Select one of your own gates."
"The commander empowers the troops around him for a while, then must recharge.","The commander empowers the troops around him for a while, then must recharge."
"Wood only","Wood only"
"Stone only","Stone only"
"Iron only","Iron only"
"Any resource","Any resource"
"Dismantle order","Dismantle order"
"Auto","Auto"
"Pick a resource","Pick a resource"
"Dismantle","Dismantle"
"Scrap","Scrap"
"Send builders to take one of your own buildings apart and get part of its cost back.","Send builders to take one of your own buildings apart and get part of its cost back."
"Press Dismantle, then left-click your building. Right-click cancels.","Press Dismantle, then left-click your building. Right-click cancels."
"Pays back","Pays back"
"Part of what it cost, once the work finishes. Calling the crew off pays nothing.","Part of what it cost, once the work finishes. Calling the crew off pays nothing."
"Crew","Crew"
"Builders only; up to three of them speed it up.","Builders only; up to three of them speed it up."
"Dismantle is only available to builders","Dismantle is only available to builders"
"Food first","Food first"
"Send a builder to fell a tree, break a boulder, work an ore seam, reap a ripe farm or slaughter a sheep.","Send a builder to fell a tree, break a boulder, work an ore seam, reap a ripe farm or slaughter a sheep."
"Press again to cycle any resource, wood, stone, iron, food, then off.","Press again to cycle any resource, wood, stone, iron, food, then off."
"Split","Split"
"Break the selected squad into two smaller ones so they can work or fight in two places at once.","Break the selected squad into two smaller ones so they can work or fight in two places at once."
"Each half","Each half"
"Carries half the men, half the health and does its work at half the speed.","Carries half the men, half the health and does its work at half the speed."
"Needs","Needs"
"A squad of at least four still standing.","A squad of at least four still standing."
"This squad is too small to divide","This squad is too small to divide"
"Join","Join"
"Fold two understrength squads of the same kind back into one.","Fold two understrength squads of the same kind back into one."
"Two squads of the same kind, both below full strength and standing close together.","Two squads of the same kind, both below full strength and standing close together."
"Result","Result"
"One squad with their men and health added together, up to a full establishment.","One squad with their men and health added together, up to a full establishment."
"Select two understrength squads of the same kind","Select two understrength squads of the same kind"
"Pick a structure, move the outline onto flat clear ground, scroll or press [ and ] to rotate, left-click to confirm. Right-click cancels.","Pick a structure, move the outline onto flat clear ground, scroll or press [ and ] to rotate, left-click to confirm. Right-click cancels."
"ORDERS","ORDERS"
"Right-click to cancel","Right-click to cancel"
"Automatic","Automatic"
"No specialist actions for this selection","No specialist actions for this selection"
"Select troops to reveal their specialist actions","Select troops to reveal their specialist actions"
"Commander","Commander"
"Commander unavailable","Commander unavailable"
"Choose destination","Choose destination"
"Planting flag","Planting flag"
"Moving commander","Moving commander"
"Flag active","Flag active"
"Ready","Ready"
"Left-click a destination to confirm the rally flag.","Left-click a destination to confirm the rally flag."
"The commander is planting the flag. Interruptions will cancel the rally.","The commander is planting the flag. Interruptions will cancel the rally."
"The commander is marching to the chosen point before planting the flag.","The commander is marching to the chosen point before planting the flag."
"Troops have already received a normal move order to this rally flag.","Troops have already received a normal move order to this rally flag."
"Choose a destination, march there, plant the flag, then order all controllable troops there.","Choose a destination, march there, plant the flag, then order all controllable troops there."
"Cancel Rally Placement","Cancel Rally Placement"
"Rally In Progress","Rally In Progress"
"Reposition Rally [R]","Reposition Rally [R]"
"Place Rally [R]","Place Rally [R]"
"Vanguard Rush","Vanguard Rush"
"Explode forward into the focused enemy and open a punish.","Explode forward into the focused enemy and open a punish."
"Second Wind","Second Wind"
"Recover posture and stamina, then steady yourself for the next exchange.","Recover posture and stamina, then steady yourself for the next exchange."
"Command Aura","Command Aura"
"Temporarily empower nearby troops. A glow marks every affected soldier.","Temporarily empower nearby troops. A glow marks every affected soldier."
"Disconnected","Disconnected"
"Guard broken","Guard broken"
"Punish window","Punish window"
"Sprinting","Sprinting"
"Steady","Steady"
"COMMANDER","COMMANDER"
"Frontline command","Frontline command"
"Aura active","Aura active"
"Aura ready","Aura ready"
"Aura cooling","Aura cooling"
"HP %1/%2","HP %1/%2"
"STM %1%","STM %1%"
"Stable","Stable"
"Posture","Posture"
"Chase","Chase"
"State: %1","State: %1"
"Perfect guard live","Perfect guard live"
"Finisher primed","Finisher primed"
"Aura %1","Aura %1"
"empowers nearby troops","empowers nearby troops"
"is recovering","is recovering"
"Camera: %1","Camera: %1"
"ORDERS","ORDERS"
"ABILITIES","ABILITIES"
"Rally","Rally"
"Command Aura Active · %1s","Command Aura Active · %1s"
"Activate Command Aura [3]","Activate Command Aura [3]"
"Command Aura · %1s cooldown","Command Aura · %1s cooldown"
"Temporarily empower nearby troops. Every affected soldier receives a visible glow.","Temporarily empower nearby troops. Every affected soldier receives a visible glow."
"Combo","Combo"
"%1 [%2]","%1 [%2]"
"COMBAT CONTROLS","COMBAT CONTROLS"
"[LMB] Strike  [RMB] Guard","[LMB] Strike  [RMB] Guard"
"[Space] Dodge  [Alt] Jump","[Space] Dodge  [Alt] Jump"
"[WASD] Move  [Shift] Sprint","[WASD] Move  [Shift] Sprint"
"[Tab] Cycle Target  [3] Aura  [C] Camera","[Tab] Cycle Target  [3] Aura  [C] Camera"
"[R] Rally Orders  [Enter] Return to RTS","[R] Rally Orders  [Enter] Return to RTS"
"[F] Bash  [1] Rush  [2] Second Wind","[F] Bash  [1] Rush  [2] Second Wind"
"[Tab] Target  [1] Rush  [2] Second Wind  [3] Aura  [F] Bash","[Tab] Target  [1] Rush  [2] Second Wind  [3] Aura  [F] Bash"
"[R] Place Rally  [C] Camera  [Enter] Return to RTS","[R] Place Rally  [C] Camera  [Enter] Return to RTS"
"Rally autopilot engaged until the flag is planted","Rally autopilot engaged until the flag is planted"
"Combat HUD synced for close-quarters command","Combat HUD synced for close-quarters command"
"First-person command engaged","First-person command engaged"
"The aura is not ready yet.","The aura is not ready yet."
"Weapon Special / Shield Bash","Weapon Special / Shield Bash"
"Use your weapon technique, or hold guard for a shield-bash stagger burst.","Use your weapon technique, or hold guard for a shield-bash stagger burst."
"Armies of the field","Armies of the field"
"Following: %1","Following: %1"
"Follow the previous army","Follow the previous army"
"Follow the next army","Follow the next army"
"Manpower %1/%2","Manpower %1/%2"
"Holdings %1","Holdings %1"
"Trained %1","Trained %1"
"Kills %1  Losses %2","Kills %1  Losses %2"
"the whole field","the whole field"
"MINIMAP","MINIMAP"
"[You]","[You]"
"Resume","Resume"
"Pause","Pause"
"Follow the selection with the camera","Follow the selection with the camera"
"SPECTATOR","SPECTATOR"
"Watching a CPU-only match. You cannot issue commands.","Watching a CPU-only match. You cannot issue commands."
"Human players","Human players"
"AI players","AI players"
"Enemies defeated","Enemies defeated"
"Minimap","Minimap"
"(%1/%2)","(%1/%2)"
"Resource and building guide","Resource and building guide"
"Open the field manual (help)","Open the field manual (help)"
"Battle speed %1","Battle speed %1"
"Battle speed","Battle speed"
"Hide the camera controls","Hide the camera controls"
"Show how to move the camera","Show how to move the camera"
"Camera controls","Camera controls"
"Visible","Visible"
"Explored","Explored"
"Unseen","Unseen"
"Left click moves the camera, right click orders selected troops.\nVisible: currently scouted, enemies shown.\nExplored: seen before, terrain only.\nUnseen: never scouted.","Left click moves the camera, right click orders selected troops.\nVisible: currently scouted, enemies shown.\nExplored: seen before, terrain only.\nUnseen: never scouted."
"Return the camera to your camp (%1)","Return the camera to your camp (%1)"
"All objectives complete","All objectives complete"
"Click to look at the objective.","Click to look at the objective."
"Manpower","Manpower"
"Manpower in the field: %1 of %2.\nEvery troop costs manpower; a squad of twelve builders costs ten. This is not a headcount - the selection panel counts soldiers.","Manpower in the field: %1 of %2.\nEvery troop costs manpower; a squad of twelve builders costs ten. This is not a headcount - the selection panel counts soldiers."
"Basics","Basics"
"Economy","Economy"
"Buildings","Buildings"
"Army","Army"
"Commander","Commander"
"Controls","Controls"
"The tutorial is a guided first battle on a small meadow. Each step names one goal, tells you when it is done, and explains why an order is refused. It also points: the button a step is talking about lights up in the command bar, and what you are meant to act on is ringed on the field and pinned on the minimap - press Show me to swing the camera onto it. Steps can be paused, skipped and replayed at any time.","The tutorial is a guided first battle on a small meadow. Each step names one goal, tells you when it is done, and explains why an order is refused. It also points: the button a step is talking about lights up in the command bar, and what you are meant to act on is ringed on the field and pinned on the minimap - press Show me to swing the camera onto it. Steps can be paused, skipped and replayed at any time."
"Tutorial","Tutorial"
"Selecting","Selecting"
"Left-click a unit to select it, or hold the left button and drag a box around several. Hold Ctrl to add to the selection. Selected units show a ring at their feet, and the panel at the bottom lists them by type - click a type to keep only those.","Left-click a unit to select it, or hold the left button and drag a box around several. Hold Ctrl to add to the selection. Selected units show a ring at their feet, and the panel at the bottom lists them by type - click a type to keep only those."
"Giving orders","Giving orders"
"Winning and losing","Winning and losing"
"Each mission states its own victory and defeat conditions in the Objectives screen (Escape, then Objectives). In every battle your commander must survive: a nation dies with the man who leads it, and a lone commander is already lost.","Each mission states its own victory and defeat conditions in the Objectives screen (Escape, then Objectives). In every battle your commander must survive: a nation dies with the man who leads it, and a lone commander is already lost."
"The three materials","The three materials"
"Wood comes from pine trees, stone from boulders and iron from ore seams. A builder harvests a node with Collect (or Auto Gather), then carries the load to the stone yard beside a friendly barracks. Only when it is dropped there does the counter in the top bar rise. The yard's piles grow and shrink with your stores.","Wood comes from pine trees, stone from boulders and iron from ore seams. A builder harvests a node with Collect (or Auto Gather), then carries the load to the stone yard beside a friendly barracks. Only when it is dropped there does the counter in the top bar rise. The yard's piles grow and shrink with your stores."
"Gold and trade","Gold and trade"
"Gold comes with the camp and cannot be mined. A marketplace lets you buy materials for gold and sell surplus for it; a temple costs gold to raise.","Gold comes with the camp and cannot be mined. A marketplace lets you buy materials for gold and sell surplus for it; a temple costs gold to raise."
"Costs","Costs"
"Placing a structure","Placing a structure"
"Select a builder and press Build to open the structure list. Move the outline over the ground: green means flat, clear ground; red means it is blocked by another building, water or a slope. Scroll to rotate, left-click to confirm, right-click to cancel. The builder walks over and works until it stands.","Select a builder and press Build to open the structure list. Move the outline over the ground: green means flat, clear ground; red means it is blocked by another building, water or a slope. Scroll to rotate, left-click to confirm, right-click to cancel. The builder walks over and works until it stands."
"What each building does","What each building does"
"Repair and dismantle","Repair and dismantle"
"Recruiting","Recruiting"
"Reserve","Reserve"
"Formations and lines","Formations and lines"
"The standard","The standard"
"Your commander carries the standard. Troops close to him fight with higher morale, and morale decides who breaks first. Keep him behind the spears: if he falls the mission is lost.","Your commander carries the standard. Troops close to him fight with higher morale, and morale decides who breaks first. Keep him behind the spears: if he falls the mission is lost."
"Aura and Rally","Aura and Rally"
"Taking direct control","Taking direct control"
"Where the mission allows it, you can step into the commander's boots and lead from the field. The controls for that mode are listed under Controls.","Where the mission allows it, you can step into the commander's boots and lead from the field. The controls for that mode are listed under Controls."
"Pace and view","Pace and view"
"Field manual","Field manual"
"Field Manual","Field Manual"
"Close the field manual","Close the field manual"
"unbound","unbound"
"%1. %2","%1. %2"
"Start the tutorial","Start the tutorial"
"Show tutorial card","Show tutorial card"
"Restart the steps","Restart the steps"
"Close","Close"
"Camera","Camera"
"The top-left buttons pause the battle and set the speed, from half up to quadruple; Space pauses too, and + and - step through the speeds. The active speed stays lit while paused and can be changed there. Move the camera with the arrow keys or WASD, or push the mouse to the screen edge; scroll or PgUp and PgDown to zoom, Q and E to rotate, Ctrl with the up and down arrows to tilt; Home returns to your camp and Follow keeps the camera on your selection. Every one of these can be rebound under Settings › Controls, where each camera command says what it does.","The top-left buttons pause the battle and set the speed, from half up to quadruple; Space pauses too, and + and - step through the speeds. The active speed stays lit while paused and can be changed there. Move the camera with the arrow keys or WASD, or push the mouse to the screen edge; scroll or PgUp and PgDown to zoom, Q and E to rotate, Ctrl with the up and down arrows to tilt; Home returns to your camp and Follow keeps the camera on your selection. Every one of these can be rebound under Settings › Controls, where each camera command says what it does."
"Right-click the ground to move, right-click an enemy to attack. Hold the right button and drag before releasing to choose the way the troops will face: one unit turns to face where you drag, several units are placed in formation facing it. The command grid offers Attack, Guard, Patrol, Hold, Stop and the builder and commander orders. A marker shows where troops are going and the banner above the grid confirms each order - or explains why it was refused.","Right-click the ground to move, right-click an enemy to attack. Hold the right button and drag before releasing to choose the way the troops will face: one unit turns to face where you drag, several units are placed in formation facing it. The command grid offers Attack, Guard, Patrol, Hold, Stop and the builder and commander orders. A marker shows where troops are going and the banner above the grid confirms each order - or explains why it was refused."
"Spearmen hold a line, archers punish from behind it, cavalry breaks flanks, healers mend nearby wounded on their own. Right-click and drag with several units selected to deploy them in a formation that faces the drag; the Formation order opens the same planner where they stand. Run trades stamina for speed.","Spearmen hold a line, archers punish from behind it, cavalry breaks flanks, healers mend nearby wounded on their own. Right-click and drag with several units selected to deploy them in a formation that faces the drag; the Formation order opens the same planner where they stand. Run trades stamina for speed."
"Guard - hold a spot","Guard - hold a spot"
"Press Guard, then left-click the ground the troops should hold. They fight anything that comes within about 10 m of that spot, let go of anything that runs past it, and walk back once the fight is over. Press Guard again, or give a move or attack order, to release them; Stop alone will not lift it. Any soldier can guard.","Press Guard, then left-click the ground the troops should hold. They fight anything that comes within about 10 m of that spot, let go of anything that runs past it, and walk back once the fight is over. Press Guard again, or give a move or attack order, to release them; Stop alone will not lift it. Any soldier can guard."
"Hold - stand fast","Hold - stand fast"
"Press Hold and the troops kneel where they stand. They never take a step, but they reach further, hit harder and take more punishment than they would on the move, and braced spears gut a cavalry charge. That is the trade: pursuit for staying power. Press Hold again, or give a move, attack or Stop order, to stand them up. Only archers and spearmen can hold.","Press Hold and the troops kneel where they stand. They never take a step, but they reach further, hit harder and take more punishment than they would on the move, and braced spears gut a cavalry charge. That is the trade: pursuit for staying power. Press Hold again, or give a move, attack or Stop order, to stand them up. Only archers and spearmen can hold."
"Patrol - walk a beat","Patrol - walk a beat"
"Press Patrol, left-click the first waypoint, then left-click the second. The troops march between the two points for good and attack whatever crosses the line - useful for watching a flank while you look elsewhere. Right-click cancels while you are setting it; any other order, or Stop, clears the route.","Press Patrol, left-click the first waypoint, then left-click the second. The troops march between the two points for good and attack whatever crosses the line - useful for watching a flank while you look elsewhere. Right-click cancels while you are setting it; any other order, or Stop, clears the route."
"With the commander selected, Aura empowers his troops for a stretch and then has to recharge - each commander brings his own bonus, radius and timings, and the button prints them along with the time left. A glow marks every soldier inside the ring, the ring travels with him, and a wounded commander cannot call it. Rally plants a flag that your army marches to - useful for pulling a scattered force back into a line.","With the commander selected, Aura empowers his troops for a stretch and then has to recharge - each commander brings his own bonus, radius and timings, and the button prints them along with the time left. A glow marks every soldier inside the ring, the ring travels with him, and a wounded commander cannot call it. Rally plants a flag that your army marches to - useful for pulling a scattered force back into a line."
"A damaged building can be repaired by a builder with the Repair order. A building you no longer need can be taken down with the Dismantle order: pick your builders, press Dismantle and click the building. Part of what it cost comes back once the work is done, and calling the crew off before then pays nothing.","A damaged building can be repaired by a builder with the Repair order. A building you no longer need can be taken down with the Dismantle order: pick your builders, press Dismantle and click the building. Part of what it cost comes back once the work is done, and calling the crew off before then pays nothing."
"Food","Food"
"Food feeds your settlement: every civilian recruited at a Home costs it. A Farm grows grain in cycles; when the field turns gold a builder reaps it with Collect and hauls the grain home, and the field is sown again. Builders can also slaughter a sheep for a smaller haul. Auto Gather set to food keeps a builder working the farms.","Food feeds your settlement: every civilian recruited at a Home costs it. A Farm grows grain in cycles; when the field turns gold a builder reaps it with Collect and hauls the grain home, and the field is sown again. Builders can also slaughter a sheep for a smaller haul. Auto Gather set to food keeps a builder working the farms."
"Every card - recruit or building - lists its price. A grey card means something is short; hover it to read what. Homes cost 50 wood and 15 stone, a farm 40 wood and 10 stone, a barracks 100 wood and 60 stone, a defence tower 60 wood and 80 stone; soldiers cost wood and iron plus reserve, and civilians cost food.","Every card - recruit or building - lists its price. A grey card means something is short; hover it to read what. Homes cost 50 wood and 15 stone, a farm 40 wood and 10 stone, a barracks 100 wood and 60 stone, a defence tower 60 wood and 80 stone; soldiers cost wood and iron plus reserve, and civilians cost food."
"Barracks recruit soldiers and hold your stockpile yard. Homes raise families and civilians. Farms grow grain that builders reap for food. Defence towers shoot at anything in range. Marketplaces trade. Temples strengthen morale and take in healers. Walls and gates shape the field; gates open for your own troops.","Barracks recruit soldiers and hold your stockpile yard. Homes raise families and civilians. Farms grow grain that builders reap for food. Defence towers shoot at anything in range. Marketplaces trade. Temples strengthen morale and take in healers. Walls and gates shape the field; gates open for your own troops."
"Left-click a barracks and pick a soldier; healers take their vows at a temple instead. Recruits queue up to five deep and march out to the rally flag. Each costs reserve from the building's own pool as well as materials.","Left-click a barracks and pick a soldier; healers take their vows at a temple instead. Recruits queue up to five deep and march out to the rally flag. Each costs reserve from the building's own pool as well as materials."
"A barracks or temple starts with a reserve and spends it on every recruit; the card shows exactly what each one costs. Homes refill it: each Home raises families over time, a civilian can be recruited there for food and sent to either building with Deliver, and that building's reserve grows. A squad then stands in the field for what it cost, which is what the top bar counts against the map's manpower cap.","A barracks or temple starts with a reserve and spends it on every recruit; the card shows exactly what each one costs. Homes refill it: each Home raises families over time, a civilian can be recruited there for food and sent to either building with Deliver, and that building's reserve grows. A squad then stands in the field for what it cost, which is what the top bar counts against the map's manpower cap."
"Hide this","Hide this"
"Never show this again","Never show this again"
"Unbound","Unbound"
"Mouse Left","Mouse Left"
"Mouse Right","Mouse Right"
"Mouse Middle","Mouse Middle"
"Mouse Back","Mouse Back"
"Mouse Forward","Mouse Forward"
"%1 of %2","%1 of %2"
"Pick a target","Pick a target"
"OK","OK"
"Battle Report","Battle Report"
"March the Campaign","March the Campaign"
"The Campaign is Won","The Campaign is Won"
"Training Complete","Training Complete"
"Victory Secured","Victory Secured"
"Army Broken","Army Broken"
"Every mission has fallen to your standard.","Every mission has fallen to your standard."
"Every order carried out.","Every order carried out."
"Enemy command has fallen.","Enemy command has fallen."
"You can run an army now. The Barcid Road is waiting.","You can run an army now. The Barcid Road is waiting."
"Your command has collapsed.","Your command has collapsed."
"Battle Decided","Battle Decided"
"One side is left holding the field.","One side is left holding the field."
"Search","Search"
"Selected units","Selected units"
"SELECTION","SELECTION"
"SELECTED UNIT","SELECTED UNIT"
"SELECTED FORCE","SELECTED FORCE"
"%1 soldiers ready","%1 soldiers ready"
"1 unit","1 unit"
"%1 units","%1 units"
"%1 units  ·  %2 types","%1 units  ·  %2 types"
"Drag a box over your troops, or click a unit","Drag a box over your troops, or click a unit"
"HEALTH","HEALTH"
"%1%","%1%"
"STAMINA","STAMINA"
"%1 wounded","%1 wounded"
"(mixed)","(mixed)"
"YOUR BUILDING","YOUR BUILDING"
"YOUR UNIT","YOUR UNIT"
"ENEMY BUILDING","ENEMY BUILDING"
"ENEMY UNIT","ENEMY UNIT"
"BUILDING","BUILDING"
"UNIT","UNIT"
"Under attack by %n of your units","Under attack by one of your units | Under attack by %n of your units"
"Not engaged by your army","Not engaged by your army"
"Under attack by %n enemies","Under attack by %n enemy | Under attack by %n enemies"
"Not under attack","Not under attack"
"Enemy","Enemy"
"Yours","Yours"
"Neutral","Neutral"
"%1 / %2","%1 / %2"
"ATK","ATK"
"RNG","RNG"
"SPD","SPD"
"Show what this unit is for","Show what this unit is for"
"Unit details","Unit details"
"%1/%2","%1/%2"
"%1 soldiers","%1 soldiers"
"SOLDIERS","SOLDIERS"
"soldiers —","soldiers —"
"Map load failed: %1","Map load failed: %1"
"Prewarming templates: scanning unit profiles...","Prewarming templates: scanning unit profiles..."
"Prewarming templates: %1 / %2","Prewarming templates: %1 / %2"
"Queued deferred template warmup (%1 additional)","Queued deferred template warmup (%1 additional)"
"Template warmup complete (%1 core, %2 total)","Template warmup complete (%1 core, %2 total)"
"Template warmup cancelled","Template warmup cancelled"
"Cancel","Cancel"
"No saves found","No saves found"
"No Preview","No Preview"
"Load","Load"
"Delete","Delete"
"Confirm Delete","Confirm Delete"
"Are you sure you want to delete the save:\n""%1""?\n\nThis action cannot be undone.","Are you sure you want to delete the save:\n""%1""?\n\nThis action cannot be undone."
"%1h %2m","%1h %2m"
"%1m","%1m"
"Campaign","Campaign"
"Skirmish","Skirmish"
"%1 - autosave","%1 - autosave"
"%1 - quicksave","%1 - quicksave"
"%1 · %2","%1 · %2"
"Saved %1","Saved %1"
"Played %1","Played %1"
"Export","Export"
"Exported to %1","Exported to %1"
"Export failed","Export failed"
"Verify","Verify"
"Verification Passed","Verification Passed"
"Verification Failed","Verification Failed"
"""%1"" is intact. The save file has not been corrupted.","""%1"" is intact. The save file has not been corrupted."
"""%1"" is corrupted and cannot be loaded. The save failed its integrity check.","""%1"" is corrupted and cannot be loaded. The save failed its integrity check."
"Import...","Import..."
"Save Verification","Save Verification"
"Import Save","Import Save"
"Save files found in the exports folder:","Save files found in the exports folder:"
"Import","Import"
"Imported as ""%1""","Imported as ""%1"""
"Import failed","Import failed"
"No importable save files were found.","No importable save files were found."
"Untitled Save","Untitled Save"
"Unknown Map","Unknown Map"
"Pick a saved game first.","Pick a saved game first."
"Load game","Load game"
"Loading...","Loading..."
"Not Started","Not Started"
"Initializing...","Initializing..."
"Loading Map Data...","Loading Map Data..."
"Loading Terrain...","Loading Terrain..."
"Loading Biome...","Loading Biome..."
"Loading Water Features...","Loading Water Features..."
"Loading Roads...","Loading Roads..."
"Loading Environment...","Loading Environment..."
"Loading Fog...","Loading Fog..."
"Loading Units & Buildings...","Loading Units & Buildings..."
"Loading Audio...","Loading Audio..."
"Generating Minimap...","Generating Minimap..."
"Initializing Game Systems...","Initializing Game Systems..."
"Finalizing...","Finalizing..."
"Complete","Complete"
"Failed","Failed"
"Unknown","Unknown"
"A commander who personally investigates every problem soon becomes one of them.","A commander who personally investigates every problem soon becomes one of them."
"A formation that becomes scattered is easier to surround and destroy.","A formation that becomes scattered is easier to surround and destroy."
"A narrow front can prevent a numerically superior enemy from using all of its troops at once.","A narrow front can prevent a numerically superior enemy from using all of its troops at once."
"A retreat made early can preserve an army. A retreat made late can become a rout.","A retreat made early can preserve an army. A retreat made late can become a rout."
"A strong economy cannot help you if the enemy cuts the road between it and your army.","A strong economy cannot help you if the enemy cuts the road between it and your army."
"A unit surrounded on several sides will struggle even if it began the fight at full strength.","A unit surrounded on several sides will struggle even if it began the fight at full strength."
"A well-defended position is one the enemy has not yet discovered a ridiculous way around.","A well-defended position is one the enemy has not yet discovered a ridiculous way around."
"An army marches on its stomach. The stomach, regrettably, also requires a supply line.","An army marches on its stomach. The stomach, regrettably, also requires a supply line."
"Archers perform best when protected from direct melee combat.","Archers perform best when protected from direct melee combat."
"Avoid sending cavalry directly into prepared infantry formations.","Avoid sending cavalry directly into prepared infantry formations."
"Battles are often decided before contact through positioning, preparation, and logistics.","Battles are often decided before contact through positioning, preparation, and logistics."
"Building near resources can reduce the amount of time workers spend carrying supplies.","Building near resources can reduce the amount of time workers spend carrying supplies."
"Capturing useful infrastructure can be more valuable than destroying it.","Capturing useful infrastructure can be more valuable than destroying it."
"Cavalry can arrive quickly. Whether they should have arrived there is another question.","Cavalry can arrive quickly. Whether they should have arrived there is another question."
"Cavalry is most effective when attacking exposed flanks or isolated units.","Cavalry is most effective when attacking exposed flanks or isolated units."
"Clearing a dangerous area is not the same as securing it. Check what remains nearby.","Clearing a dangerous area is not the same as securing it. Check what remains nearby."
"Concentrating your forces can overwhelm a stronger enemy fighting in separate groups.","Concentrating your forces can overwhelm a stronger enemy fighting in separate groups."
"Destroying an enemy army is useful. Preventing it from fighting effectively is often enough.","Destroying an enemy army is useful. Preventing it from fighting effectively is often enough."
"Direct commander control can help turn a critical fight, but exposes your commander to greater danger.","Direct commander control can help turn a critical fight, but exposes your commander to greater danger."
"Do not chase fleeing enemies so far that your own formation collapses.","Do not chase fleeing enemies so far that your own formation collapses."
"Enemy reinforcements are much less dangerous when they never reach the battlefield.","Enemy reinforcements are much less dangerous when they never reach the battlefield."
"Every commander has a plan until a sheep joins the formation.","Every commander has a plan until a sheep joins the formation."
"Every supply shortage begins with someone saying, “We probably have enough.”","Every supply shortage begins with someone saying, “We probably have enough.”"
"Exhausted troops are less effective. Allow units time to recover when possible.","Exhausted troops are less effective. Allow units time to recover when possible."
"Formations are strongest when their flanks are protected.","Formations are strongest when their flanks are protected."
"High ground improves your ability to control an engagement.","High ground improves your ability to control an engagement."
"History remembers the victorious general. The quartermaster remembers who forgot to bring food.","History remembers the victorious general. The quartermaster remembers who forgot to bring food."
"If your formation looks impressive from a distance, you are at least halfway to military competence.","If your formation looks impressive from a distance, you are at least halfway to military competence."
"Infantry can hold ground that faster units may struggle to defend.","Infantry can hold ground that faster units may struggle to defend."
"Keep an escape route available when fighting near rivers, cliffs, or narrow passages.","Keep an escape route available when fighting near rivers, cliffs, or narrow passages."
"Keep ranged troops away from routes enemy cavalry can reach quickly.","Keep ranged troops away from routes enemy cavalry can reach quickly."
"Keep reserve troops behind the main line to respond to breakthroughs.","Keep reserve troops behind the main line to respond to breakthroughs."
"Never underestimate the tactical value of looking busy while someone else carries the stone.","Never underestimate the tactical value of looking busy while someone else carries the stone."
"Protect your commander. Losing leadership at the wrong moment can decide a battle.","Protect your commander. Losing leadership at the wrong moment can decide a battle."
"Repairing damaged defenses before the next attack is usually cheaper than rebuilding them afterward.","Repairing damaged defenses before the next attack is usually cheaper than rebuilding them afterward."
"Scout unfamiliar terrain before committing your main force.","Scout unfamiliar terrain before committing your main force."
"Stockpiles shorten resource delivery routes and improve economic efficiency.","Stockpiles shorten resource delivery routes and improve economic efficiency."
"Terrain can be as important as numbers. Use forests, hills, and narrow passages to your advantage.","Terrain can be as important as numbers. Use forests, hills, and narrow passages to your advantage."
"The Iron Sepulcher is best approached with troops prepared for an unexpected engagement.","The Iron Sepulcher is best approached with troops prepared for an unexpected engagement."
"The enemy cannot predict your strategy if you have forgotten it yourself.","The enemy cannot predict your strategy if you have forgotten it yourself."
"The shortest path between two points is rarely the route selected by an army.","The shortest path between two points is rarely the route selected by an army."
"Use patrol orders to secure roads, settlements, and vulnerable resource routes.","Use patrol orders to secure roads, settlements, and vulnerable resource routes."
"Walls are excellent defenses until someone remembers gates exist.","Walls are excellent defenses until someone remembers gates exist."
"War elephants are powerful, disciplined weapons of war, right up until they have an opinion.","War elephants are powerful, disciplined weapons of war, right up until they have an opinion."
"War elephants can disrupt formations, but unsupported elephants can quickly become isolated.","War elephants can disrupt formations, but unsupported elephants can quickly become isolated."
"Watch your supply routes when advancing deep into hostile territory.","Watch your supply routes when advancing deep into hostile territory."
"When attacking, look for weak points rather than spreading damage evenly across the enemy line.","When attacking, look for weak points rather than spreading damage evenly across the enemy line."
"When defending, force the enemy to come to you under unfavorable conditions.","When defending, force the enemy to come to you under unfavorable conditions."
"Wildlife may react unpredictably to nearby troops and fighting.","Wildlife may react unpredictably to nearby troops and fighting."
"Wolves are considerably less impressed by military rank than your soldiers are.","Wolves are considerably less impressed by military rank than your soldiers are."
"Workers are valuable strategic assets. Do not leave them exposed near the front.","Workers are valuable strategic assets. Do not leave them exposed near the front."
"A new standard in the valley, and nobody under it who has held a spear more than twice.","A new standard in the valley, and nobody under it who has held a spear more than twice."
"PAUSED","PAUSED"
"Press %1 to resume","Press %1 to resume"
"Error","Error"
"Standard of Iron - RTS game","Standard of Iron - RTS game"
"STANDARD OF IRON","STANDARD OF IRON"
"Settings","Settings"
"Exit","Exit"
"Play Skirmish","Play Skirmish"
"Choose the field and deploy armies","Choose the field and deploy armies"
"Battle","Battle"
"Campaign","Campaign"
"March through the Second Punic War","March through the Second Punic War"
"Start here","Start here"
"War Map","War Map"
"Objectives","Objectives"
"Review active orders","Review active orders"
"Orders","Orders"
"Record the current campaign state","Record the current campaign state"
"Archive","Archive"
"Return to a saved command","Return to a saved command"
"Return","Return"
"Display, audio, and controls","Display, audio, and controls"
"Options","Options"
"Leave the war table","Leave the war table"
"Retire","Retire"
"Rome and Carthage at the edge of empire","Rome and Carthage at the edge of empire"
"SECOND PUNIC WAR","SECOND PUNIC WAR"
"Legions, fleets, elephants, and contested supply lines","Legions, fleets, elephants, and contested supply lines"
