"source","translation_tr_TR"
"Manpower limit reached","İnsan gücü sınırına ulaşıldı"
"Missing %1","%1 eksik"
"Economy guide","Ekonomi rehberi"
"Resources and Building","Kaynaklar ve İnşa"
"Close the economy guide","Ekonomi rehberini kapat"
"Gather with builders, spend what they bring on structures, recruit from a barracks, and keep both running.","İnşaatçılarla topla, getirdiklerini yapılara harca, kışladan devşir ve ikisini de sürdür."
"WHAT EACH RESOURCE IS FOR","HER KAYNAK NE İŞE YARAR"
"Spent on: %1","Harcandığı yer: %1"
"WHAT A BUILDER CAN RAISE","BİR İNŞAATÇI NE YÜKSELTEBİLİR"
"%1 — %2 · %3s","%1 — %2 · %3sn"
"WHAT A BARRACKS CAN RECRUIT","BİR KIŞLA NE DEVŞİREBİLİR"
"%1 — %2 reserve, %3 · %4s","%1 — %2 yedek, %3 · %4sn"
"Back to the battle","Savaşa dön"
"Standard","Standart"
"Iron and Ember","Demir ve Kor"
"Roman Republic","Roma Cumhuriyeti"
"Senatus Populusque Romanus","Senatus Populusque Romanus"
"Carthage","Kartaca"
"Qart-Ḥadašt","Qart-Ḥadašt"
"Iron Sepulcher","Demir Kabir"
"The watch does not sleep","Nöbet uyumaz"
"POP","NÜF"
"Barracks","Kışla"
"Defense tower","Savunma kulesi"
"Home","Ev"
"Wall","Sur"
"Gate","Kapı"
"Marketplace","Pazar"
"Temple","Tapınak"
"Farm","Tarla"
"No units selected.","Hiçbir birim seçilmedi."
"No units eligible for formation placement.","Düzen yerleştirmeye uygun birim yok."
"This doctrine has no template for the chosen formation.","Bu doktrinin seçilen düzen için şablonu yok."
"No part of this formation fits on the chosen ground.","Bu düzenin hiçbir parçası seçilen zemine sığmıyor."
"Faction Default","Taraf Varsayılanı"
"Line","Hat"
"Column","Kol"
"Defensive","Savunmacı"
"Assault","Taarruz"
"Encirclement","Kuşatma"
"Siege Escort","Kuşatma Muhafızı"
"Reforming","Yeniden diziliyor"
"Formed","Dizildi"
"Disrupted","Bozuldu"
"Opening","Açılıyor"
"Traversing","Geçiyor"
"Arrived","Vardı"
"Neutral","Tarafsız"
"Roman Republic","Roma Cumhuriyeti"
"Requires at least one siege engine in the selection.","Seçimde en az bir kuşatma makinesi gerekiyor."
"Requires cavalry or mounted troops to close the encirclement.","Kuşatmayı kapatmak için süvari ya da atlı birlik gerekiyor."
"Carthage","Kartaca"
"The Iron Sepulcher","Demir Kabir"
"%1 has no template for this intent.","%1 için bu amaca uygun şablon yok."
"The selection lacks the troop types this formation needs.","Seçimde bu düzenin ihtiyaç duyduğu birlik türleri yok."
"Encirclement needs at least three units.","Kuşatma en az üç birim ister."
"%1°","%1°"
"Drag to face the unit · Release to move it","Birimi yöneltmek için sürükle · Taşımak için bırak"
"Wheel to turn · Esc to cancel","Döndürmek için tekerlek · İptal için Esc"
"Drag to face the formation · Release to deploy","Düzeni yöneltmek için sürükle · Yerleştirmek için bırak"
"Wheel to turn · Ctrl+wheel for depth · Esc to cancel","Döndürmek için tekerlek · Derinlik için Ctrl+tekerlek · İptal için Esc"
"Drag on the ground to set facing · Click to move","Yönü belirlemek için zeminde sürükle · Taşımak için tıkla"
"Wheel to turn · Right-click or Esc to cancel","Döndürmek için tekerlek · İptal için sağ tık ya da Esc"
"Drag on the ground to set width and facing.","Genişliği ve yönü belirlemek için zeminde sürükle."
"Click to deploy · Wheel to turn · Ctrl+wheel for depth · Right-click or Esc to cancel","Yerleştirmek için tıkla · Döndürmek için tekerlek · Derinlik için Ctrl+tekerlek · İptal için sağ tık ya da Esc"
"The deployment this faction fights in by default. No setup needed.","Bu tarafın varsayılan savaş düzeni. Ayar gerektirmez."
"Widest frontage. Best for meeting an advance head on.","En geniş cephe. Bir ilerleyişi cepheden karşılamak için en iyisi."
"Narrow and deep. Best for moving through gates and passes.","Dar ve derin. Kapılardan ve geçitlerden geçmek için en iyisi."
"Compressed frontage with reserves. Best for holding ground.","Yedekli, sıkıştırılmış cephe. Mevzi tutmak için en iyisi."
"Weighted front with skirmishers ahead. Best for breaking a line.","Önde avcılarla ağırlıklı cephe. Bir hattı kırmak için en iyisi."
"Wide flanks that close around a target. Needs cavalry.","Hedefin çevresini saran geniş kanatlar. Süvari ister."
"Engines protected behind infantry. Needs a siege engine.","Piyadenin ardında korunan makineler. Kuşatma makinesi ister."
"%1 m","%1 m"
"Position %1","%1 mevzisi"
"Position unit","Birimi yerleştir"
"Choose a formation","Bir düzen seç"
"%1 · %2 units","%1 · %2 birim"
"Shape","Biçim"
"%1 × %2","%1 × %2"
"Frontage","Cephe"
"Depth","Derinlik"
"Facing","Yön"
"Facing (auto)","Yön (otomatik)"
"In place","Yerinde"
"%1 position(s) nudged to fit the ground.","%1 mevzi zemine uyması için kaydırıldı."
"Hide fine tuning","İnce ayarı gizle"
"Fine tuning","İnce ayar"
"How wide the deployment spreads before it starts adding ranks behind.","Düzen, arkaya saf eklemeye başlamadan önce ne kadar genişler."
"Narrow","Dar"
"Balanced","Dengeli"
"Wide","Geniş"
"How many ranks stand behind the front. Deeper hits harder but covers less ground.","Cephenin arkasında kaç saf durur. Derin olan daha sert vurur ama daha az alan kaplar."
"Shallow","Sığ"
"Deep","Derin"
"The gap between units. Tight holds shape better; loose loses less to area attacks.","Birimler arasındaki aralık. Sıkı olan biçimi daha iyi korur; gevşek olan alan saldırılarında daha az kaybeder."
"Spacing","Aralık"
"Tight","Sıkı"
"Normal","Normal"
"Loose","Gevşek"
"Which wing the cavalry weights. Split puts an equal body on each wing.","Süvarinin hangi kanadı ağırlıklandırdığı. Bölünmüş, her kanada eşit bir kütle koyar."
"Cavalry wing","Süvari kanadı"
"Left","Sol"
"Right","Sağ"
"Split","Bölünmüş"
"Where archers and slingers stand. Skirmish sends them out ahead and pulls them back on contact.","Okçular ve sapancıların nerede duracağı. Avcı düzeni onları öne yollar ve temasta geri çeker."
"Missile troops","Atıcı birlikler"
"In front","Önde"
"Behind","Arkada"
"Skirmish ahead","Önde avcı"
"Rows held back from the fighting line to plug gaps.","Boşlukları kapatmak için savaş hattından geride tutulan saflar."
"Reserve rows","Yedek saflar"
"Doctrine decides","Doktrin karar versin"
"None","Yok"
"One row","Bir saf"
"Two rows","İki saf"
"Reform is faster and copes with chokepoints. Maintain keeps the shape on the march but moves slower.","Yeniden dizilme daha hızlıdır ve dar geçitlerle baş eder. Koruma yürüyüşte biçimi korur ama daha yavaş ilerler."
"On the march","Yürüyüşte"
"Reform on arrival","Varışta yeniden diz"
"Hold the shape","Biçimi koru"
"How a selection drawn from several factions is arranged.","Birkaç taraftan derlenen bir seçimin nasıl dizileceği."
"Mixed armies","Karma ordular"
"By role","Göreve göre"
"Separate contingents","Ayrı birlikler"
"Follow the commander","Komutanı izle"
"Follow the majority","Çoğunluğu izle"
"Sorting groups the same troop types together. Keeping the order leaves each unit where it already stands in the line.","Sıralama aynı birlik türlerini bir araya toplar. Sırayı korumak her birimi hatta zaten durduğu yerde bırakır."
"Slot order","Yuva sırası"
"Sort by type","Türe göre sırala"
"Keep current order","Şimdiki sırayı koru"
"Which drill book shapes the deployment. Automatic follows the troops you selected.","Düzeni hangi talim kitabının biçimlendireceği. Otomatik, seçtiğin birlikleri izler."
"Doctrine","Doktrin"
"Reset to faction default","Taraf varsayılanına sıfırla"
"Formed","Dizildi"
"In position","Mevzide"
"Disrupted","Bozuldu"
"Opening ranks","Saflar açılıyor"
"Filing through","Sırayla geçiyor"
"Forming up","Diziliyor"
"The line is holding its shape and takes reduced damage.","Hat biçimini koruyor ve daha az hasar alıyor."
"The line has reached its ground and is holding it.","Hat zeminine ulaştı ve orayı tutuyor."
"The line has come apart and is taking extra damage. Re-issue the formation order to reform.","Hat dağıldı ve fazladan hasar alıyor. Yeniden dizmek için düzen emrini tekrar ver."
"The ranks are opening to let the line through.","Saflar, hattın geçmesi için açılıyor."
"The line is filing through a narrow crossing.","Hat dar bir geçitten sırayla geçiyor."
"Units are still moving into their slots.","Birimler hâlâ yuvalarına yürüyor."
"Formation","Düzen"
"Hide this readout","Bu göstergeyi gizle"
"Cohesion %1%","Bütünlük %%1"
"%1 units","%1 birim"
"Selection spans several formations.","Seçim birkaç düzene yayılıyor."
"%1 slot(s) blocked by terrain.","%1 yuva arazi yüzünden kapalı."
"Standard of Iron — Iron and Ember Gallery","Standard of Iron — Demir ve Kor Galerisi"
"Scale","Ölçek"
"Reduce motion","Hareketi azalt"
"High contrast","Yüksek karşıtlık"
"Reset","Sıfırla"
"Iron and Ember — every control the product may use","Demir ve Kor — ürünün kullanabileceği her denetim"
"Cannot save: empty slot name","Kaydedilemiyor: yuva adı boş"
"Save service is shutting down","Kaydetme hizmeti kapanıyor"
"Queued","Sırada"
"Serializing world","Dünya diziliyor"
"Compressing","Sıkıştırılıyor"
"Writing","Yazılıyor"
"Exception while saving: %1","Kaydederken hata: %1"
"Save cancelled","Kaydetme iptal edildi"
"Done","Bitti"
"Save storage unavailable","Kaydetme deposu kullanılamıyor"
"Save slot '%1' is corrupted: %2","'%1' kayıt yuvası bozuk: %2"
"Exception while loading save '%1': %2","'%1' kaydı yüklenirken hata: %2"
"Cannot write '%1': %2","'%1' yazılamıyor: %2"
"Failed to write '%1': %2","'%1' yazılamadı: %2"
"Cannot read '%1': %2","'%1' okunamıyor: %2"
"Our ally %1 has been defeated.","Müttefikimiz %1 yenildi."
"%1 has been defeated.","%1 yenildi."
"Our ally %1 is finished - %2 has fallen.","Müttefikimiz %1 bitti - %2 düştü."
"%1 is finished - %2 has fallen.","%1 bitti - %2 düştü."
"Cannot play replay: %1","Tekrar oynatılamıyor: %1"
"Cannot play replay: unknown launch kind '%1'","Tekrar oynatılamıyor: bilinmeyen başlatma türü '%1'"
"Cannot start skirmish: renderer not initialized","Çatışma başlatılamıyor: görüntüleyici hazırlanmadı"
"Save: not initialized","Kaydetme: hazırlanmadı"
"A save is already in progress","Zaten süren bir kaydetme var"
"Queued","Sırada"
"Cancelling...","İptal ediliyor..."
"Load: not initialized","Yükleme: hazırlanmadı"
"Manpower limit reached.","İnsan gücü sınırına ulaşıldı."
"Not enough reserve — build a home to raise more families.","Yeterli yedek yok — daha çok aile yetiştirmek için bir ev inşa et."
"The previous frame is still running; the match could not be changed. Please try again.","Önceki kare hâlâ çalışıyor; maç değiştirilemedi. Lütfen tekrar deneyin."
"%1/%2 walls  •  %3 wood","%1/%2 sur  •  %3 odun"
"Low","Düşük"
"Medium","Orta"
"High","Yüksek"
"Ultra","Ultra"
"Playable on weak hardware: no cast shadows or post-processing, sparse grass, reduced detail beyond a few metres.","Zayıf donanımda oynanır: gölge ve son işleme yok, seyrek çimen, birkaç metreden sonra düşük ayrıntı."
"Small cast shadows, lighter shaders, reduced detail at distance. For integrated graphics.","Küçük gölgeler, hafif gölgelendiriciler, uzakta düşük ayrıntı. Tümleşik ekran kartları için."
"Everything as designed: full detail everywhere, full shadows and post-processing. Recommended.","Tasarlandığı gibi her şey: her yerde tam ayrıntı, tam gölge ve son işleme. Önerilir."
"High plus contact-hardening shadows, foliage translucency, extra terrain detail and 8x anti-aliasing. Needs a strong GPU.","Yüksek ayarların üstüne temas sertleşmeli gölgeler, yaprak saydamlığı, ek arazi ayrıntısı ve 8x kenar yumuşatma. Güçlü bir ekran kartı ister."
"%1 FPS","%1 FPS"
"%1 m","%1 m"
"%1s","%1sn"
"Give it","Ver gitsin"
"Press Guard, then click the ground to hold. Right-click cancels.","Nöbet'e bas, sonra tutulacak zemine tıkla. Sağ tık iptal eder."
"Reach","Erim"
"They fight what comes within %1 of that spot, and drop a target that leaves it.","O noktanın %1 yakınına gireni vururlar ve oradan ayrılan hedefi bırakırlar."
"After","Sonrasında"
"They walk back to the spot when the fight ends.","Çarpışma bitince noktaya geri yürürler."
"Release","Bırakma"
"Press Guard again, or order a move or attack. Stop does not lift it.","Yeniden Nöbet'e bas ya da hareket veya saldırı emri ver. Dur bunu kaldırmaz."
"Troops","Birlikler"
"Any soldier, and the commander.","Her asker ve komutan."
"vs Hold","Mevzi ile farkı"
"Guards step out to meet the enemy; Hold never moves.","Nöbetçiler düşmanı karşılamaya çıkar; Mevzi hiç kımıldamaz."
"Press Hold. There is nothing to click.","Mevzi'ye bas. Tıklanacak bir şey yok."
"Stance","Duruş"
"They kneel, strike whatever reaches them, and never pursue.","Diz çöker, kendilerine ulaşana vurur ve asla takibe geçmezler."
"Dug in","Siperde"
"Archers reach %1% further and spearmen %2%; both hit %3% harder, take %4% more punishment, and braced spears break a charge.","Okçular %%1 daha uzağa erişir, mızrakçılar %%2; ikisi de %%3 daha sert vurur, %%4 daha çok dayanır ve payandalı mızraklar bir hücumu kırar."
"Press Hold again, or order a move, attack or Stop. Standing up takes a moment.","Yeniden Mevzi'ye bas ya da hareket, saldırı veya Dur emri ver. Ayağa kalkmak biraz sürer."
"Archers and spearmen only.","Yalnızca okçular ve mızrakçılar."
"vs Guard","Nöbet ile farkı"
"Guard would chase; Hold trades that for reach and staying power.","Nöbet takibe geçerdi; Mevzi bunu erim ve dayanıklılıkla takas eder."
"Press Patrol, left-click the first waypoint, then left-click the second. Right-click cancels.","Devriye'ye bas, ilk ara noktaya sol tıkla, sonra ikincisine sol tıkla. Sağ tık iptal eder."
"Route","Güzergâh"
"They march between the two points for good, attacking whatever crosses the line.","İki nokta arasında sürekli yürür, hattı geçen her şeye saldırırlar."
"Any other order, or Stop, clears the route.","Başka herhangi bir emir ya da Dur güzergâhı siler."
"Every soldier and the commander.","Her asker ve komutan."
"Effect","Etki"
"Nearby troops fight with steadier morale and the commander's own bonus.","Yakındaki birlikler daha sağlam morille ve komutanın kendi desteğiyle çarpışır."
"%1 around the commander, and it moves with him.","Komutanın çevresinde %1 ve onunla birlikte hareket eder."
"Lasts","Süre"
"Recharge","Yenilenme"
"%1 once it fades. A wounded commander cannot call it.","Sona erdiğinde %1. Yaralı bir komutan bunu çağıramaz."
"Your own living troops inside the ring; a glow marks each one.","Halkanın içindeki kendi canlı birliklerin; her birini bir parıltı işaretler."
"Wood only","Yalnızca odun"
"Stone only","Yalnızca taş"
"Iron only","Yalnızca demir"
"Food first","Önce yiyecek"
"Any resource","Her kaynak"
"Click waypoint 1","1. ara noktaya tıkla"
"Click waypoint 2","2. ara noktaya tıkla"
"On patrol","Devriyede"
"Active %1","Etkin %1"
"Ready in %1","%1 içinde hazır"
"Ready","Hazır"
"Holding a spot","Bir noktayı tutma"
"Select troops first","Önce birlik seç"
"No troops selected","Hiç birlik seçilmedi"
"Orders ready","Emirler hazır"
"Patrol: click the second waypoint","Devriye: ikinci ara noktaya tıkla"
"Patrol: click the first waypoint","Devriye: ilk ara noktaya tıkla"
"Guard: click the spot to hold","Nöbet: tutulacak noktaya tıkla"
"Guarding a spot","Bir noktayı tutuyor"
"Attack order","Saldırı emri"
"Medic order","Şifacı emri"
"Engineer order","İstihkâm emri"
"Repair order","Onarım emri"
"Dismantle order","Sökme emri"
"Collection order","Toplama emri"
"Barracks delivery","Kışlaya teslim"
"Formation order","Düzen emri"
"Rally order","Toplanma emri"
"Stop command","Dur komutu"
"Attack","Saldır"
"Send the selected troops at one enemy unit or building.","Seçili birlikleri tek bir düşman birime ya da yapısına sür."
"Press Attack, then left-click the target. Right-click cancels. A right-click on an enemy does the same thing.","Saldır'a bas, sonra hedefe sol tıkla. Sağ tık iptal eder. Bir düşmana sağ tıklamak da aynı işi görür."
"Scope","Kapsam"
"They chase the target until it dies or you order otherwise.","Hedef ölene ya da sen başka emir verene kadar peşini bırakmazlar."
"Every fighting unit; healers and builders sit it out.","Her çarpışan birim; şifacılar ve inşaatçılar bunun dışında kalır."
"Attack is not available for the current selection","Şimdiki seçim için Saldır kullanılamaz"
"Guard","Nöbet"
"Anchor troops to a spot. They step out to meet what comes near, then walk back.","Birlikleri bir noktaya bağlar. Yaklaşanı karşılamak için çıkar, sonra geri dönerler."
"Guard is not available for the current selection","Şimdiki seçim için Nöbet kullanılamaz"
"Patrol","Devriye"
"March a beat between two points and fight whatever crosses it.","İki nokta arasında mekik dokur ve arasından geçen her şeyle çarpışır."
"Patrol is not available for the current selection","Şimdiki seçim için Devriye kullanılamaz"
"Medic","Şifacı"
"Healers tend the wounded around them on their own.","Şifacılar çevrelerindeki yaralılara kendiliğinden bakar."
"Passive","Edilgen"
"There is nothing to press: a healer mends nearby allies whenever they are hurt.","Basılacak bir şey yok: bir şifacı, yakındaki müttefikler yaralandıkça onları iyileştirir."
"Healers only. Keep them behind the line and they will work.","Yalnızca şifacılar. Onları hattın gerisinde tut, işlerini görürler."
"Healers automatically heal nearby allies. This is passive, not a manual order.","Şifacılar yakındaki müttefikleri kendiliğinden iyileştirir. Bu edilgen bir davranıştır, elle verilen bir emir değil."
"Select healer units","Şifacı birimleri seç"
"Stop","Dur"
"Drop everything the selected troops are doing and stand still.","Seçili birliklerin yaptığı her şeyi bıraktır ve onları oldukları yerde durdur."
"Clears","Temizler"
"Movement, the current target, Patrol, Hold, formation and gathering orders.","Hareketi, şimdiki hedefi, Devriye'yi, Mevzi'yi, düzeni ve toplama emirlerini."
"Keeps","Korur"
"Guard: press Guard again to release troops from their anchor.","Nöbet: birlikleri bağlı oldukları noktadan çözmek için yeniden Nöbet'e bas."
"Hold","Mevzi"
"Stand fast. Troops dig in where they are, hit harder and further, and never pursue.","Sıkı dur. Birlikler bulundukları yerde siper kazar, daha sert ve daha uzağa vurur, asla takibe geçmezler."
"Hold is only available to archers and spearmen","Mevzi yalnızca okçularda ve mızrakçılarda kullanılabilir"
"Build","İnşa"
"Open the builder's structure list and place one.","İnşaatçının yapı listesini aç ve bir tane yerleştir."
"Pick a structure, move the outline onto flat clear ground, scroll or press [ and ] to rotate, left-click to confirm. Right-click cancels.","Bir yapı seç, taslağı düz ve boş bir zemine taşı, döndürmek için tekerleği çevir ya da [ ve ] tuşlarına bas, onaylamak için sol tıkla. Sağ tık iptal eder."
"Builders only.","Yalnızca inşaatçılar."
"Build is only available to builders","İnşa yalnızca inşaatçılarda kullanılabilir"
"Collect","Topla"
"Send a builder to fell a tree, break a boulder, work an ore seam, reap a ripe farm or slaughter a sheep.","Bir inşaatçıyı ağaç devirmeye, kaya kırmaya, cevher damarı işlemeye, olgun tarla biçmeye ya da koyun kesmeye yolla."
"Press Collect, then left-click the node. Right-click cancels.","Topla'ya bas, sonra kaynağa sol tıkla. Sağ tık iptal eder."
"The load only counts once it is dropped at the yard beside a barracks.","Yük ancak kışlanın yanındaki avluya bırakılınca sayılır."
"Collect is only available to builders","Topla yalnızca inşaatçılarda kullanılabilir"
"Auto Gather","Otomatik Topla"
"Auto","Otomatik"
"Builders keep finding and working the nearest resource on their own.","İnşaatçılar en yakın kaynağı kendiliğinden bulup işlemeyi sürdürür."
"Runs until you stop it; any new order cancels it.","Sen durdurana kadar sürer; her yeni emir iptal eder."
"Pick a resource","Bir kaynak seç"
"Press again to cycle any resource, wood, stone, iron, food, then off.","Her kaynak, odun, taş, demir, yiyecek ve kapalı arasında geçmek için yeniden bas."
"Auto Gather is only available to builders","Otomatik Topla yalnızca inşaatçılarda kullanılabilir"
"Repair","Onar"
"Send a builder to mend one of your damaged buildings.","Bir inşaatçıyı hasarlı yapılarından birini onarmaya yolla."
"Press Repair, then left-click the damaged building. Right-click cancels.","Onar'a bas, sonra hasarlı yapıya sol tıkla. Sağ tık iptal eder."
"Repair is only available to builders","Onar yalnızca inşaatçılarda kullanılabilir"
"Dismantle","Sök"
"Scrap","Hurdaya ayır"
"Send builders to take one of your own buildings apart and get part of its cost back.","İnşaatçıları kendi yapılarından birini sökmeye yolla ve bedelinin bir kısmını geri al."
"Press Dismantle, then left-click your building. Right-click cancels.","Sök'e bas, sonra yapına sol tıkla. Sağ tık iptal eder."
"Pays back","Geri ödemesi"
"Part of what it cost, once the work finishes. Calling the crew off pays nothing.","İş bittiğinde bedelinin bir kısmı. Ekibi geri çağırmak hiçbir şey ödemez."
"Crew","Ekip"
"Builders only; up to three of them speed it up.","Yalnızca inşaatçılar; en çok üç tanesi işi hızlandırır."
"Dismantle is only available to builders","Sök yalnızca inşaatçılarda kullanılabilir"
"Split","Bölünmüş"
"Break the selected squad into two smaller ones so they can work or fight in two places at once.","Seçili müfrezeyi iki küçük müfrezeye böl, böylece aynı anda iki yerde çalışabilir ya da çarpışabilirler."
"Each half","Her yarısı"
"Carries half the men, half the health and does its work at half the speed.","Adamların yarısını, canın yarısını taşır ve işini yarı hızda görür."
"Needs","Gerekenler"
"A squad of at least four still standing.","Ayakta en az dört kişilik bir müfreze."
"This squad is too small to divide","Bu müfreze bölünemeyecek kadar küçük"
"Join","Birleştir"
"Fold two understrength squads of the same kind back into one.","Aynı türden eksik iki müfrezeyi tekrar tek bir müfrezede topla."
"Two squads of the same kind, both below full strength and standing close together.","Aynı türden, ikisi de tam mevcudun altında ve birbirine yakın duran iki müfreze."
"Result","Sonuç"
"One squad with their men and health added together, up to a full establishment.","Adamları ve canları toplanmış, tam mevcuda kadar tek bir müfreze."
"Select two understrength squads of the same kind","Aynı türden eksik iki müfreze seç"
"Deliver","Teslim et"
"Send civilians to a barracks to refill the reserve it recruits from.","Devşirme yaptığı yedeği tazelemek için sivilleri bir kışlaya yolla."
"Press Deliver, then left-click a friendly barracks. Right-click cancels.","Teslim et'e bas, sonra dost bir kışlaya sol tıkla. Sağ tık iptal eder."
"Civilians only; other selected units ignore it.","Yalnızca siviller; seçili diğer birimler bunu yok sayar."
"Deliver is only available to civilians","Teslim et yalnızca sivillerde kullanılabilir"
"Rally","Toplan"
"The commander plants a flag and the army marches to it.","Komutan bir sancak diker ve ordu ona doğru yürür."
"Press Rally, then left-click where the flag should stand. He walks there and plants it.","Toplan'a bas, sonra sancağın dikileceği yere sol tıkla. Oraya yürür ve sancağı diker."
"Troops near the flag march in; it also steadies wavering men.","Sancağın yakınındaki birlikler ona yürür; ayrıca sendeleyen adamları da toparlar."
"Needs your commander selected.","Komutanının seçili olmasını ister."
"Select a commander to use rally","Toplanmayı kullanmak için bir komutan seç"
"Gate","Kapı"
"Cycle the selected gates: automatic, held open, held shut.","Seçili kapıları sırayla değiştir: otomatik, açık tutulan, kapalı tutulan."
"Automatic gates open for your own troops and shut behind them.","Otomatik kapılar kendi birliklerine açılır ve arkalarından kapanır."
"Select one of your own gates.","Kendi kapılarından birini seç."
"Select one of your gates to control it","Denetlemek için kapılarından birini seç"
"Aura","Aura"
"The commander empowers the troops around him for a while, then must recharge.","Komutan bir süre çevresindeki birlikleri güçlendirir, sonra yenilenmesi gerekir."
"Select a ready commander to activate the aura","Aurayı etkinleştirmek için hazır bir komutan seç"
"ORDERS","EMİRLER"
"Right-click to cancel","İptal için sağ tık"
"TARGET","HEDEF"
"%n attacking","%n saldırıyor"
"%1%","%%1"
"Automatic","Otomatik"
"No specialist actions for this selection","Bu seçim için uzmanlık eylemi yok"
"Select troops to reveal their specialist actions","Uzmanlık eylemlerini görmek için birlik seç"
"Commander","Komutan"
"Commander unavailable","Komutan kullanılamıyor"
"Choose destination","Varış noktası seç"
"Planting flag","Sancak dikiliyor"
"Moving commander","Komutan yürüyor"
"Flag active","Sancak etkin"
"Ready","Hazır"
"Left-click a destination to confirm the rally flag.","Toplanma sancağını onaylamak için bir varış noktasına sol tıkla."
"The commander is planting the flag. Interruptions will cancel the rally.","Komutan sancağı dikiyor. Bölünmeler toplanmayı iptal eder."
"The commander is marching to the chosen point before planting the flag.","Komutan, sancağı dikmeden önce seçilen noktaya yürüyor."
"Troops have already received a normal move order to this rally flag.","Birliklere bu toplanma sancağına zaten olağan bir hareket emri verildi."
"Choose a destination, march there, plant the flag, then order all controllable troops there.","Bir varış noktası seç, oraya yürü, sancağı dik, sonra denetleyebildiğin bütün birliklere oraya emir ver."
"Cancel Rally Placement","Toplanma Yerleştirmesini İptal Et"
"Rally In Progress","Toplanma Sürüyor"
"Reposition Rally [R]","Toplanmayı Taşı [R]"
"Place Rally [R]","Toplanma Yerleştir [R]"
"Vanguard Rush","Öncü Hamlesi"
"Explode forward into the focused enemy and open a punish.","Odaklanılan düşmana doğru patlayarak atıl ve bir ceza penceresi aç."
"Second Wind","İkinci Nefes"
"Recover posture and stamina, then steady yourself for the next exchange.","Duruşunu ve dayanıklılığını topla, sonra bir sonraki alışveriş için kendini sağlama al."
"Weapon Special / Shield Bash","Silah Özel / Kalkan Vuruşu"
"Use your weapon technique, or hold guard for a shield-bash stagger burst.","Silah tekniğini kullan ya da kalkan vuruşuyla sersemletme için siperi basılı tut."
"Command Aura","Komuta Aurası"
"Temporarily empower nearby troops. A glow marks every affected soldier.","Yakındaki birlikleri geçici olarak güçlendirir. Etkilenen her askeri bir parıltı işaretler."
"Disconnected","Bağlantı koptu"
"Guard broken","Siper kırıldı"
"Punish window","Ceza penceresi"
"Sprinting","Koşuyor"
"Steady","Sağlam"
"COMMANDER","KOMUTAN"
"Frontline command","Cephe komutası"
"Aura active","Aura etkin"
"Aura ready","Aura hazır"
"Aura cooling","Aura yenileniyor"
"HP %1/%2","CAN %1/%2"
"STM %1%","DYN %%1"
"Stable","Dengeli"
"Posture","Duruş"
"State: %1","Durum: %1"
"Perfect guard live","Kusursuz siper açık"
"Finisher primed","Bitirici hazır"
"Aura %1","Aura %1"
"empowers nearby troops","yakındaki birlikleri güçlendiriyor"
"is recovering","yenileniyor"
"Camera: %1","Kamera: %1"
"Chase","Takip"
"ORDERS","EMİRLER"
"ABILITIES","YETENEKLER"
"Rally","Toplan"
"Command Aura Active · %1s","Komuta Aurası Etkin · %1sn"
"Activate Command Aura [3]","Komuta Aurasını Etkinleştir [3]"
"Command Aura · %1s cooldown","Komuta Aurası · %1sn bekleme"
"Temporarily empower nearby troops. Every affected soldier receives a visible glow.","Yakındaki birlikleri geçici olarak güçlendirir. Etkilenen her asker görünür bir parıltı alır."
"The aura is not ready yet.","Aura henüz hazır değil."
"Combo","Kombo"
"%1 [%2]","%1 [%2]"
"COMBAT CONTROLS","ÇARPIŞMA DENETİMLERİ"
"[LMB] Strike  [RMB] Guard","[Sol tık] Vur  [Sağ tık] Siper"
"[Space] Dodge  [Alt] Jump","[Boşluk] Sıyrıl  [Alt] Sıçra"
"[WASD] Move  [Shift] Sprint","[WASD] Hareket  [Shift] Koş"
"[Tab] Cycle Target  [3] Aura  [C] Camera","[Tab] Hedef Değiştir  [3] Aura  [C] Kamera"
"[R] Rally Orders  [Enter] Return to RTS","[R] Toplanma Emirleri  [Enter] RTS'ye Dön"
"[F] Bash  [1] Rush  [2] Second Wind","[F] Vuruş  [1] Hamle  [2] İkinci Nefes"
"[Tab] Target  [1] Rush  [2] Second Wind  [3] Aura  [F] Bash","[Tab] Hedef  [1] Hamle  [2] İkinci Nefes  [3] Aura  [F] Vuruş"
"[R] Place Rally  [C] Camera  [Enter] Return to RTS","[R] Toplanma Yerleştir  [C] Kamera  [Enter] RTS'ye Dön"
"Rally autopilot engaged until the flag is planted","Sancak dikilene kadar toplanma otomatik sürüşte"
"Combat HUD synced for close-quarters command","Çarpışma arayüzü yakın muharebe komutası için eşitlendi"
"First-person command engaged","Birinci şahıs komuta etkin"
"Armies of the field","Meydandaki ordular"
"Following: %1","İzlenen: %1"
"Follow the previous army","Önceki orduyu izle"
"Follow the next army","Sonraki orduyu izle"
"Manpower %1/%2","İnsan gücü %1/%2"
"Holdings %1","Mülkler %1"
"Trained %1","Eğitilen %1"
"Kills %1  Losses %2","Öldürülen %1  Kayıplar %2"
"the whole field","bütün meydan"
"All objectives complete","Bütün hedefler tamamlandı"
"(%1/%2)","(%1/%2)"
"Click to look at the objective.","Hedefe bakmak için tıkla."
"[You]","[Sen]"
"Resume","Sürdür"
"Pause","Duraklat"
"Battle speed %1","Savaş hızı %1"
"Battle speed","Savaş hızı"
"Follow the selection with the camera","Kamerayla seçimi izle"
