"source","translation_ru_RU"
"That was yours a moment ago. My surveyors are already renaming the streets. Something Latin, I think.","Ещё мгновение назад это было твоим. Мои землемеры уже переименовывают улицы. Что-нибудь латинское, полагаю."
"The cohorts are moving - slowly, in step. You will have time to see them coming. That is the point.","Когорты двинулись — медленно, в ногу. Ты успеешь увидеть, как они идут. В том и смысл."
"The first arrows fly. Now we learn whether you can bleed and think at once.","Полетели первые стрелы. Теперь узнаем, умеешь ли ты истекать кровью и думать разом."
"The legion is moving. Do not trouble to form a line - it will only give my men something to step over.","Легион двинулся. Не трудись строить линию — это лишь даст моим людям, через что перешагнуть."
"There it is. You came straight at me, like a bull at a red cloak, and now you are wondering where the cloak went.","Вот и оно. Ты пошёл прямо на меня, как бык на красное полотно, и теперь гадаешь, куда делось полотно."
"There you are. I have been counting your wagons. Fewer than you need, more than you can guard. This will be a patient day.","Вот ты где. Я считал твои повозки. Меньше, чем нужно, больше, чем сможешь устеречь. День будет терпеливым."
"There. It was never a battle, only a season, and seasons end. Go home if you have one; the road is long and I shall not follow.","Вот и всё. Это никогда не было битвой, лишь временем года, а времена года кончаются. Иди домой, если он есть; дорога длинна, и я не пойду следом."
"There. That is what happens when amateurs march against a ledger. Sit down. My men will count you when they have counted the horses.","Вот и всё. Так бывает, когда любители идут на счётную книгу. Садись. Мои люди сосчитают вас, когда сосчитают лошадей."
"There. You are done, and I have lost fewer men than I budgeted for. That is a good day in my trade.","Вот и всё. Ты кончен, а я потерял меньше людей, чем заложил в смету. В моём ремесле это хороший день."
"They are at my walls, and my walls were built by the lowest bidder. Some assistance would not go unrecorded.","Они у моих стен, а мои стены строил тот, кто дал самую дешёвую цену. Немного помощи не осталось бы незаписанным."
"They are at my walls. Come now, hard, and we break them between us.","Они у моих стен. Приходи сейчас, крепко, и мы сломаем их между собой."
"They are at my walls. I can hold a while - I always can - but a while is not forever, and I would rather not test the word.","Они у моих стен. Я продержусь какое-то время — я всегда держусь, — но какое-то время не значит всегда, и слово это проверять не хочется."
"They are at my walls. I can hold a while with what I have. A while, not long. Please hear the difference.","Они у моих стен. С тем, что есть, я продержусь какое-то время. Какое-то, недолго. Услышь разницу, прошу."
"They are at my walls. I have been the hammer so often that I forget what the anvil feels like. It is unpleasant.","Они у моих стен. Я так часто был молотом, что забыл, каково быть наковальней. Это неприятно."
"They are at my walls. Mercenaries have a fine sense of when a paymaster is about to become a corpse. Do hurry.","Они у моих стен. У наёмников тонкое чутьё на то, когда казначей вот-вот станет трупом. Поторопись."
"This is the edge. I have stood on it before and walked back. I would rather not do it alone.","Это край. Я уже стоял на нём и возвращался. Предпочёл бы не делать этого в одиночку."
"This is the end of my line unless you reach me. I will not ask twice; there will not be time to.","Это конец моего строя, если ты не дойдёшь до меня. Дважды просить не стану; времени не будет."
"This is what the end of a consulship looks like from the inside. Come quickly, or come for the funeral.","Вот как выглядит конец консульства изнутри. Приходи скорее или приходи на похороны."
"Together, then. I will do the clever part. You may do the brave part; it is honest work and someone must.","Значит, вместе. Я возьму на себя умную часть. Ты можешь взять храбрую; работа честная, и кто-то должен её делать."
"We are allies, so I am told. I did not vote for it. Keep your men off my supply lines and we shall get along splendidly.","Мы союзники, как мне сказали. Я за это не голосовал. Держи своих людей подальше от моих обозных путей, и мы прекрасно поладим."
"We fight side by side. Keep pace with me or stay out of my way; either is fine, both at once is not.","Мы бьёмся плечом к плечу. Поспевай за мной или не путайся под ногами; и то и другое годится, оба разом — нет."
"We fight together, then. Do try to keep your line straight - I shall be watching from the good ground, and I have a very long memory for embarrassments.","Значит, бьёмся вместе. Постарайся держать строй ровно — я буду смотреть с хорошей высоты, а на чужие конфузы у меня очень долгая память."
"We fight together. I will hold the flanks and watch the roads. Keep your supply close; the enemy will not fight fair and neither will I.","Бьёмся вместе. Я держу фланги и слежу за дорогами. Держи обоз близко; враг не станет драться честно, и я тоже."
"We stand together. I will not be hurried, and I will not hurry you. Hold what you have and let the enemy come to us tired.","Мы стоим вместе. Меня не поторопить, и тебя я торопить не стану. Держи, что имеешь, и пусть враг придёт к нам усталым."
"Welcome to my field. I say mine; I have not signed anything. I simply find that fields tend to become mine after a while.","Добро пожаловать на моё поле. Говорю «моё»; я ничего не подписывал. Просто замечаю, что поля со временем становятся моими."
"Well. A field is lost. I have lost fields before and taken the harvest anyway. We shall see who is still here at the sowing.","Что ж. Поле потеряно. Я и раньше терял поля и всё же снимал урожай. Посмотрим, кто останется здесь к севу."
"Won. Clean and fast. That is how it is done. Drink tonight; march tomorrow.","Выиграно. Чисто и быстро. Вот как это делается. Пей сегодня; выступай завтра."
"Won. Good. Now let us eat before someone counts what it cost us.","Выиграно. Хорошо. Теперь поедим, пока кто-нибудь не сосчитал, во что это обошлось."
"Won. I shall tell the Council it was my doing and yours was very expensive. They will believe half of it.","Выиграно. Скажу Совету, что это моих рук дело, а твоё вышло очень дорого. Половине они поверят."
"Won. Neatly. Remember that half of it was the ground and the other half was the timing, and none of it was luck.","Выиграно. Аккуратно. Помни, что наполовину это была земля, а наполовину — время, и ничего из этого не было удачей."
"Won. Not quickly, but won. Remember how it felt to wait; it is the part nobody else will remember for you.","Выиграно. Не быстро, но выиграно. Помни, каково было ждать; эту часть за тебя никто не запомнит."
"You are a long way from your supply, and I can see your fires from here. A hunter does not chase the deer; he waits at the water.","Ты далеко от обоза, а твои костры я вижу отсюда. Охотник не гонится за оленем; он ждёт у воды."
"You are at my camp. A camp is a tent with ambition; I have left better ones to wolves.","Ты у моего лагеря. Лагерь — это шатёр с притязаниями; я оставлял волкам и получше."
"You are at my walls. A camp is a hide, nothing more. I have others, and the hills have more still.","Ты у моих стен. Лагерь — это логово, не более. У меня есть другие, а у холмов ещё больше."
"You are at my walls. Bold. My grandfather kept a dog that was bold; we buried it with honours and bought a better one.","Ты у моих стен. Дерзко. У деда был дерзкий пёс; мы похоронили его с почестями и купили получше."
"You are at my walls. Do you have any idea what those walls cost? Of course not. Nobody who breaks things ever does.","Ты у моих стен. Ты хоть представляешь, во что обошлись эти стены? Разумеется, нет. Тот, кто ломает, никогда не представляет."
"You are at my walls. Knock. My walls have been knocked on by better, and they have learned not to answer.","Ты у моих стен. Стучи. В мои стены стучали и получше, и они выучились не открывать."
"You are bleeding. I am not pleased by it; I am merely not surprised.","Ты истекаешь кровью. Меня это не радует; просто не удивляет."
"You are hitting my camp. Good. That means you are close enough for me to hit back.","Ты бьёшь по моему лагерю. Хорошо. Значит, ты достаточно близко, чтобы я ударил в ответ."
"You brought numbers. I brought arithmetic. Do write to your people and tell them the difference, if any of them can read.","Ты привёл числа. Я привёл арифметику. Напиши своим и объясни разницу, если кто-то из них умеет читать."
"You have a camp of mine. Feed it. Water it. I will watch you try to do both from the road you do not hold.","У тебя мой лагерь. Корми его. Пои. Погляжу, как ты делаешь и то и другое с дороги, которой не владеешь."
"You have beaten a consul. Write it down somewhere; nobody in the city will believe you, and next year they will send two.","Ты побил консула. Запиши это где-нибудь; в городе тебе никто не поверит, а на следующий год пришлют двоих."
"You have come a long way to stand in a field. Stand in it, then. I have wheat to bring in, and a great deal of time, and you have neither.","Ты проделал долгий путь, чтобы постоять на поле. Так стой. У меня пшеница на уборке и очень много времени, а у тебя нет ни того ни другого."
"You have killed a consul. Rome keeps forty more in cupboards in the city, and I promise you the ones still in the cupboards are worse.","Ты убил консула. У Рима в городе по шкафам ещё сорок таких, и уверяю тебя: те, что ещё в шкафах, хуже."
"You have taken a camp. It will need feeding, and I have noticed that you do not feed things well.","Ты взял лагерь. Его придётся кормить, а я заметил, что ты плохо кормишь."
"You have taken a camp. Take the debts that come with it too; I was rather hoping someone would.","Ты взял лагерь. Забери и долги, что к нему прилагаются; я как раз надеялся, что кто-нибудь заберёт."
"You have that camp. Congratulations - you now own its wells, its debts, and its sanitation. I shall want it back before the rains.","Этот лагерь твой. Поздравляю — теперь тебе принадлежат его колодцы, его долги и его нечистоты. Я захочу его назад до дождей."
"You have the ground. Ground is patient; so am I. Winter will visit you here long before I do, and it does not negotiate.","Земля твоя. Земля терпелива; я тоже. Зима навестит тебя здесь задолго до меня, и она не торгуется."
"You have won the field. Very well. I have lost cheaper things to worse men. The Council will hear that the Barcids' war lost it, not mine.","Ты выиграл поле. Хорошо. Я терял вещи подешевле людям похуже. Совет услышит, что проиграла война Баркидов, а не моя."
"You have won. I am almost pleased; a man learns nothing from beating fools. I shall learn from you, and I promise you will not enjoy the lesson.","Ты выиграл. Я почти доволен; побеждая глупцов, ничему не научишься. У тебя научусь, и обещаю: урок тебе не понравится."
"You hurried. Men who hurry meet me exactly where I am waiting. Rest now. The ground is good for it.","Ты поспешил. Те, кто спешит, встречают меня ровно там, где я жду. Отдыхай теперь. Земля для этого хороша."
"You took the camp. Fine. It was walls; I fight in the field. Come and find me there.","Ты взял лагерь. Ладно. Это были стены; я дерусь в поле. Приходи и найди меня там."
"You win the field. Take it. I have hunted this country for years; the land will still feed me when you have eaten it bare.","Ты выигрываешь поле. Бери. Я охотился в этом краю годами; земля прокормит меня и тогда, когда ты объешь её дочиста."
"You won. Do not gloat; it slows the feet. I will find you again on better ground.","Ты победил. Не торжествуй; это утяжеляет ноги. Я найду тебя снова на лучшей земле."
"Your camp changes masters. They will find me a lenient landlord and a very poor tenant.","Твой лагерь меняет хозяев. Меня сочтут снисходительным владельцем и весьма скверным постояльцем."
"Your camp is taken. My brother will say it was his idea. It usually is.","Твой лагерь взят. Мой брат скажет, что это была его мысль. Обычно так и есть."
"Your camp, gone in a heartbeat. That is what tempo does. Learn it or lose the next one.","Твой лагерь исчез в один удар сердца. Вот что делает темп. Выучи его или проиграй следующий."
"Your camp, under new management. I shall keep the wells and fire the garrison. Standard practice.","Твой лагерь под новым управлением. Колодцы оставлю себе, гарнизон распущу. Обычное дело."
"Your commander has fallen. A pity. I had a speech prepared for after, and he would have hated it.","Твой военачальник пал. Жаль. У меня была заготовлена речь на потом, и она бы ему не понравилась."
"Your commander has fallen. Grief later; line now. The field does not pause for either of us.","Твой военачальник пал. Горе после; строй сейчас. Поле не делает передышки ни для кого из нас."
"Your commander has fallen. Hasty men do. Bury him with honour; you will be joining him soon enough, and the ground here is soft.","Твой военачальник пал. С поспешными так бывает. Похорони его с честью; скоро ты к нему присоединишься, а земля здесь мягкая."
"Your commander has fallen. I know that grief. Keep your men together; scattered men are what the enemy is hunting.","Твой военачальник пал. Мне знакомо это горе. Держи людей вместе; рассеянных враг и ловит."
"Your commander has fallen. Sorry. Keep your men moving; grief stands still and standing still kills.","Твой военачальник пал. Сочувствую. Держи людей в движении; горе стоит на месте, а стоять на месте — умирать."
"Your commander has fallen. Unfortunate. Hold your line; I shall not hold mine for a leaderless ally very long.","Твой военачальник пал. Досадно. Держи строй; ради союзника без головы я свой держать долго не стану."
"Your commander is dead. A costly man to lose. I have already calculated what it will cost you to replace him; the number is not kind.","Твой военачальник мёртв. Дорогая потеря. Я уже подсчитал, во что обойдётся его замена; число недоброе."
"Your commander is dead. Unfortunate, and expensive. Keep your line; a leaderless ally is a liability I did not agree to insure.","Твой военачальник мёртв. Досадно и дорого. Держи строй; союзник без головы — риск, страховать который я не соглашался."
"Your commander is down. He led from the front; brave men do, and it is where the arrows go.","Твой военачальник пал. Он вёл впереди; храбрые так и делают, а туда и летят стрелы."
"Your commander is down. I did not enjoy it. I did not have to.","Твой военачальник пал. Мне это не доставило удовольствия. Оно и не требовалось."
"Your commander is down. Pity. I had meant to invite him to dinner after and explain where he went wrong.","Твой военачальник пал. Жаль. Я собирался позвать его после на ужин и объяснить, где он ошибся."
"Your commander is down. Their moment of joy is your moment of opportunity; nobody watches the flanks while they cheer.","Твой военачальник пал. Их миг радости — твой миг возможности; за флангами никто не следит, пока ликует."
"Your line is breaking. I can hear it from here. Press or pull back - standing there is just dying slowly.","Твой строй ломается. Мне слышно отсюда. Дави или отходи — стоять там значит просто медленно умирать."
"Your line is thinning nicely. I am told grief is easier when one has fewer names to remember.","Твой строй славно редеет. Говорят, горевать легче, когда имён нужно помнить меньше."
"Your men are dropping in the open. A hunter feels no pride in it. Only a little pity, and a full quiver.","Твои люди падают на открытом месте. Охотник не гордится этим. Лишь немного жалости и полный колчан."
"Your men are dying at a rate that would bankrupt a lesser treasury. I find that admirable and very stupid.","Твои люди гибнут в темпе, который разорил бы казну поменьше. Нахожу это достойным восхищения и весьма глупым."
"Your men are falling faster than you are replacing them. That is not a battle. That is a harvest, and it is not yours.","Твои люди падают быстрее, чем ты их восполняешь. Это не битва. Это жатва, и не твоя."
"Your men are falling in rows. That is what happens when you fight a wall's war against a river.","Твои люди падают рядами. Так бывает, когда ведёшь войну стены против реки."
"Quintus Fabius Maximus","Квинт Фабий Максим"
"Rome's delaying strategist who preserves armies through discipline and staying power.","Римский стратег промедления, сберегающий армии дисциплиной и стойкостью."
"A campaign and scenario commander; never produced from a barracks.","Полководец кампании и сценариев; в казармах никогда не появляется."
"Heavy spear commander who anchors a disciplined battle line.","Полководец тяжёлых копейщиков, скрепляющий дисциплинированный строй."
"Boosts nearby troop endurance and slows collapse in grind fights.","Повышает выносливость ближних отрядов и замедляет развал в изматывающих схватках."
"Lower offensive pressure and weaker pursuit potential.","Меньше наступательного напора и слабее преследование."
"Fabian Endurance keeps nearby cohorts in line for prolonged fighting.","«Фабиева стойкость» держит ближние когорты в строю в затяжном бою."
"Nearby allied spearmen regenerate health fastest inside the aura.","Союзные копейщики рядом восстанавливают здоровье быстрее всех в пределах ауры."
"Rally of Patience stabilizes wavering lines during attritional combat.","«Сбор терпения» стабилизирует дрогнувшие линии в бою на истощение."
"If killed or wounded, nearby allies lose confidence and the aura shuts off.","Если он убит или ранен, союзники рядом теряют уверенность, и аура гаснет."
"Bracing Thrust","Упорный выпад"
"Publius Cornelius Scipio","Публий Корнелий Сципион"
"Aggressive Roman consul focused on decisive strikes and tactical initiative.","Напористый римский консул, нацеленный на решающие удары и тактическую инициативу."
"Sword-and-shield infantry commander who leads close behind the main assault line.","Полководец меча и щита, идущий вплотную за главной линией атаки."
"Improves nearby offensive output and enables sharper counter-pushes.","Усиливает удар ближних отрядов и позволяет более резкие контратаки."
"More vulnerable if isolated away from supporting infantry.","Более уязвим, если отрезан от поддерживающей пехоты."
"Consular Assault boosts nearby legion attack tempo.","«Консульский штурм» ускоряет темп атаки ближнего легиона."
"Nearby allied swordsmen gain the most bonus damage in aura range.","Союзные мечники рядом получают наибольшую прибавку к урону в пределах ауры."
"Consular Rally rapidly restores morale to wavering assault cohorts.","«Консульский сбор» быстро возвращает боевой дух дрогнувшим штурмовым когортам."
"Death of the consul causes a severe morale shock to nearby Romans.","Гибель консула тяжело подрывает дух римлян поблизости."
"Consular Riposte","Консульская рипоста"
"Marcus Claudius Marcellus","Марк Клавдий Марцелл"
"Roman field commander known for fast shock actions and relentless pressure.","Римский полевой командир, известный быстрыми ударами и неослабным напором."
"Lightly armored bow commander who supports aggressive vanguard action.","Легко бронированный полководец лучников, поддерживающий напор авангарда."
"Raises maneuver speed for nearby troops, enabling faster local redeployment.","Повышает скорость манёвра ближних отрядов, ускоряя местные перестроения."
"Lower staying power than other Roman commanders.","Меньше живучести, чем у прочих римских полководцев."
"Vanguard Tempo accelerates nearby infantry movement and line repositioning.","«Темп авангарда» ускоряет движение ближней пехоты и перестроение линии."
"Nearby allied archers move fastest while in aura range.","Союзные лучники рядом движутся быстрее всех в пределах ауры."
"Vanguard Rally snaps wavering attackers back into coherent motion.","«Сбор авангарда» возвращает дрогнувших атакующих в слаженное движение."
"If Marcellus falls, nearby attackers suffer immediate morale drop.","Если Марцелл пал, атакующие рядом немедленно теряют дух."
"Point-blank Volley","Залп в упор"
"Hanno the Great","Ганнон Великий"
"Carthaginian phalanx commander who holds ground with hired spear levies.","Карфагенский полководец фаланги, удерживающий землю наёмным копейным ополчением."
"Bronze-spear commander coordinating disciplined mercenary infantry.","Полководец бронзового копья, слаживающий дисциплинированную наёмную пехоту."
"Keeps a braced spear line standing far longer than it should.","Держит упёртую копейную линию куда дольше, чем ей отпущено."
"Mediocre direct combat impact and risky if exposed.","Средний вклад в прямой бой и риск, если он открыт."
"Contract Discipline knits nearby spear levies into an unbroken hedge.","«Договорная дисциплина» сплетает ближние копейные отряды в сплошную изгородь."
"Nearby allied spearmen recover health fastest inside the aura.","Союзные копейщики рядом быстрее всех восстанавливают здоровье в пределах ауры."
"Treasury Rally restores wavering troops and keeps formations from breaking.","«Сбор казны» поднимает дрогнувшие отряды и не даёт строю развалиться."
"Death triggers contract panic, reducing confidence in nearby troops.","Его гибель вызывает договорную панику и подрывает уверенность ближних отрядов."
"Phalanx Sweep","Взмах фаланги"
"Hasdrubal Barca","Гасдрубал Барка"
"Mobile Carthaginian field commander built around decisive flanking momentum.","Подвижный карфагенский полевой командир, построенный вокруг решающего охвата с фланга."
"Fast bow commander built around flanking pressure and withdrawal.","Быстрый полководец лучников, живущий фланговым напором и отходом."
"Increases nearby unit speed for coordinated flanks and withdrawals.","Повышает скорость ближних отрядов ради слаженных обходов и отходов."
"Less resilient in prolonged frontal attrition.","Менее устойчив в затяжном лобовом истощении."
"Barcid Maneuver grants nearby troops superior movement control.","«Манёвр Баркидов» даёт ближним отрядам лучшее управление движением."
"Nearby allied archers gain the most movement speed in aura range.","Союзные лучники рядом получают наибольшую прибавку к скорости в пределах ауры."
"Flank Rally rapidly restores wavering units preparing to maneuver.","«Фланговый сбор» быстро поднимает дрогнувшие отряды перед манёвром."
"Loss of Hasdrubal sharply drops morale among nearby mobile forces.","Потеря Гасдрубала резко роняет дух подвижных сил поблизости."
"Hunting Shot","Охотничий выстрел"
"Hannibal Barca","Ганнибал Барка"
"Carthage's premier battlefield commander from the Hannibal campaign.","Главный полководец Карфагена из кампании Ганнибала."
"Elite sword commander with an iconic standard and sacred-band armor.","Отборный полководец меча со знаменитым значком и доспехом священной дружины."
"Delivers a strong nearby attack bonus and elite crisis rally response.","Даёт сильную прибавку к атаке рядом и отборный сбор в миг кризиса."
"High-value target; losing him causes severe local collapse.","Ценная цель: его потеря вызывает тяжёлый местный развал."
"Hannibalic Offensive amplifies nearby attack power before decisive engagements.","«Ганнибалово наступление» усиливает удар поблизости перед решающей схваткой."
"Nearby allied swordsmen gain substantial attack damage in aura range.","Союзные мечники рядом получают заметную прибавку к урону в пределах ауры."
"Supreme Rally restores routing or wavering units to fighting order.","«Высший сбор» возвращает бегущие или дрогнувшие отряды в боевой порядок."
"If Hannibal is killed or wounded, nearby allied morale takes a heavy shock and aura ends.","Если Ганнибал убит или ранен, дух союзников рядом получает тяжёлый удар, и аура гаснет."
"Encircling Cut","Охватывающий разрез"
"Iron and Ember","Железо и жар"
"Scale %1×  ·  %2  ·  colour vision: %3","Масштаб %1×  ·  %2  ·  цветовое зрение: %3"
"reduced motion","меньше движения"
"full motion","полное движение"
"Typefaces","Шрифты"
"Display: the quick brown fox","Заголовочный: съешь ещё этих мягких булок"
"Body: the quick brown fox jumps over the lazy dog","Текстовый: съешь же ещё этих мягких французских булок да выпей чаю"
"Buttons","Кнопки"
"Primary","Основная"
"Secondary","Второстепенная"
"Destructive","Опасная"
"Disabled","Отключена"
"Unavailable in this state","Недоступно в этом состоянии"
"Search","Поиск"
"Selected","Выбрано"
"Orders","Приказы"
"Attack","Атака"
"Guard","Охрана"
"Anchor troops to a spot. They step out to meet what comes near, then walk back.","Закрепите отряды на точке. Они выходят навстречу тому, что подойдёт, и возвращаются."
"Holding a spot","Держит точку"
"Reach","Охват"
"They fight what comes within 10 m of that spot, and drop a target that leaves it.","Они бьются с тем, что войдёт в 10 м от точки, и бросают цель, которая её покинет."
"Release","Отпустить"
"Press Guard again, or order a move or attack.","Нажмите «Охрана» ещё раз или отдайте приказ идти либо атаковать."
"Patrol","Патруль"
"Rally","Сбор"
"Build","Строить"
"Build is only available to builders","Строить умеют только строители"
"Unit activities","Занятия отрядов"
"Faction skins","Облик фракций"
"Selection","Выделение"
"Roman Spearmen ×24","Римские копейщики ×24"
"Defense formation","Оборонительный строй"
"In the field","В поле"
"A collapsible block of detail. The unit panel stacks one per topic.","Сворачиваемый блок подробностей. Панель отряда ставит по одному на тему."
"Spearmen","Копейщики"
"Archers","Лучники"
"Inputs","Поля ввода"
"Balanced","Уравновешенный"
"Aggressive","Напористый"
"Defensive","Оборонительный"
"Reduced motion","Меньше движения"
"Collapses transitions to an instant state change","Сводит переходы к мгновенной смене состояния"
"Objectives","Задачи"
"Capture the eastern barracks","Захватите восточные казармы"
"Hold the ford until dusk","Удержите брод до сумерек"
"Do not lose the commander","Не потеряйте полководца"
"Take no losses","Обойдитесь без потерь"
"Notification priorities","Важность уведомлений"
"Commander under attack","Полководец под ударом"
"Eastern approach, 3 hostiles","Восточный подход, 3 противника"
"Barracks destroyed","Казармы разрушены"
"Spearmen ready","Копейщики готовы"
"Supply route restored","Путь снабжения восстановлен"
"Press a key or click a mouse button. Backspace clears it, Esc cancels.","Нажмите клавишу или кнопку мыши. Backspace очищает, Esc отменяет."
"Select a command to rebind it. Each one takes two keys, so the camera can answer to the arrows and to WASD at once.","Выберите команду, чтобы переназначить её. Каждой достаётся две клавиши, поэтому камера может слушаться и стрелок, и WASD одновременно."
"Reset all","Сбросить все"
"Every binding is already at its default.","Все привязки уже стоят по умолчанию."
"%1 is already used by %2.","%1 уже занято командой «%2»."
"Use it here anyway","Всё равно занять"
"Keep as it is","Оставить как есть"
"Taking it leaves the other command unbound.","Если забрать, та команда останется без привязки."
"Conflicts with %1","Конфликт с «%1»"
"Press a key…","Нажмите клавишу…"
"Unbound","Не назначено"
"Add a second key for %1","Добавить вторую клавишу для «%1»"
"Second key for %1","Вторая клавиша для «%1»"
"Default","По умолчанию"
"This binding is already the default.","Эта привязка уже стоит по умолчанию."
"The cursed vein is yours. It bleeds gold - and the men who guard it.","Проклятая жила ваша. Она кровоточит золотом — и людьми, что её стерегут."
"Enemy target","Вражеская цель"
"Cannot attack ally","Нельзя атаковать союзника"
"Cannot attack this target","Нельзя атаковать эту цель"
"Selection cannot attack","Выделенные атаковать не могут"
"In range","В пределах досягаемости"
"Too close","Слишком близко"
"Out of range","Вне досягаемости"
"No firing line","Нет линии стрельбы"
"Collect","Собрать"
"Deliver civilians","Доставить гражданских"
"Repair","Ремонт"
"Harvest grain","Сжать зерно"
"Slaughter sheep","Забить овцу"
"Hide these prompts","Скрыть эти подсказки"
"How it works","Как это работает"
"Gold","Золото"
"Food","Еда"
"Wood","Древесина"
"Stone","Камень"
"Iron","Железо"
"Comes from your starting treasury, mission rewards, and selling goods at a marketplace.","Берётся из начальной казны, наград за задания и продажи товаров на рынке."
"Send a builder to reap a ripe farm or slaughter a sheep with Collect, or leave Auto Gather running. Recruiting a civilian at a home spends it.","Отправьте строителя приказом «Собрать» сжать созревшее поле или забить овцу либо оставьте автосбор включённым. Наём гражданского в доме её тратит."
"Send a builder to chop a tree with Collect, or leave Auto Gather running.","Отправьте строителя приказом «Собрать» срубить дерево либо оставьте автосбор включённым."
"Send a builder to a boulder with Collect, or leave Auto Gather running.","Отправьте строителя приказом «Собрать» к валуну либо оставьте автосбор включённым."
"Send a builder to an iron ore deposit with Collect, or leave Auto Gather running.","Отправьте строителя приказом «Собрать» к залежи железной руды либо оставьте автосбор включённым."
"Home","Дом"
"Farm","Ферма"
"Barracks","Казармы"
"Defense Tower","Оборонительная башня"
"Marketplace","Рынок"
"Temple","Храм"
"Wall Segment","Участок стены"
"Wall Gate","Ворота в стене"
"Catapult","Катапульта"
"Ballista","Баллиста"
"Archer","Лучник"
"Swordsman","Мечник"
"Spearman","Копейщик"
"Horse Swordsman","Конный мечник"
"Horse Archer","Конный лучник"
"Horse Spearman","Конный копейщик"
"Healer","Целитель"
"Builder","Строитель"
"Civilian","Гражданский"
"Elephant","Слон"
"Raises civilians, who carry reserve to the nearest barracks. Each one costs food.","Растит гражданских, которые несут резерв в ближайшие казармы. Каждый стоит еды."
"Grows grain in cycles. A builder reaps it for food once it ripens.","Выращивает зерно циклами. Когда оно созреет, строитель жнёт его на еду."
"Recruits troops and receives everything your builders gather.","Нанимает войска и принимает всё, что собирают ваши строители."
"Shoots at enemies that come near it.","Стреляет по врагам, что подходят близко."
"Buys and sells resources for gold.","Покупает и продаёт ресурсы за золото."
"Watches over a wide stretch of ground, holds a settlement together, and takes in healers.","Смотрит за широкой полосой земли, скрепляет поселение и принимает целителей."
"Blocks enemy movement.","Перекрывает движение врага."
"Opens for your troops and allies, shut to everyone else.","Открывается вашим отрядам и союзникам, закрыта для всех прочих."
"Long-range siege engine, best against structures.","Дальнобойная осадная машина, лучше всего против построек."
"Precise siege engine, best against units.","Точная осадная машина, лучше всего против отрядов."
", and %1 more",", и ещё %1"
"%1 %2","%1 %2"
"No resource cost","Без затрат ресурсов"
"%1 more %2","ещё %1 %2"
"Nobody is gathering it right now.","Сейчас этим никто не занят."
"Builders gathering it: %1","Строителей на сборе: %1"
"%1 being hauled to a barracks","%1 везут в казармы"
"Held in your treasury; no storage limit.","Хранится в казне; предела складу нет."
"Hauled to a barracks yard before it is credited. The yard looks full at %1.","Свозится во двор казарм, прежде чем попасть в счёт. Двор выглядит полным при %1."
"Short %1 for a %2.","Не хватает %1 на %2."
"%1 in store: %2","%1 в запасе: %2"
"Spent on: %1","Тратится на: %1"
"Step 1 — Gather","Шаг 1 — Собирайте"
"Step 2 — Build","Шаг 2 — Стройте"
"Step 3 — Recruit","Шаг 3 — Нанимайте"
"Step 4 — Keep an army","Шаг 4 — Держите армию"
"Your settlement runs itself","Ваше поселение живёт само"
"Recruit a builder at a barracks, then send it to collect wood, stone or iron.","Наймите строителя в казармах, затем отправьте его за древесиной, камнем или железом."
"Select a builder, press Collect, and click a tree, boulder, ore deposit, ripe farm or sheep. It hauls the load to a barracks yard, then goes back for more.","Выделите строителя, нажмите «Собрать» и щёлкните по дереву, валуну, залежи руды, созревшему полю или овце. Он свезёт груз во двор казарм и вернётся за следующим."
"With a builder selected, press Build and place a Home to raise your reserve, or a Barracks to recruit from.","С выделенным строителем нажмите «Строить» и поставьте Дом, чтобы поднять резерв, или Казармы, чтобы набирать из них."
"Select a barracks and recruit troops. Each one costs reserve and resources, both shown on its card.","Выделите казармы и нанимайте войска. Каждый отряд стоит резерва и ресурсов — и то и другое указано на его карточке."
"Keep recruiting while your builders gather. Raise Homes and Farms when reserve or food runs out.","Продолжайте набор, пока строители собирают. Когда кончается резерв или еда, ставьте Дома и Фермы."
