"source","translation_pl_PL"
"%1 has been defeated.","%1 został pokonany."
"Our ally %1 is finished - %2 has fallen.","Z naszym sojusznikiem %1 koniec — %2 padł."
"%1 is finished - %2 has fallen.","Z %1 koniec — %2 padł."
"Cannot play replay: %1","Nie można odtworzyć powtórki: %1"
"Cannot play replay: unknown launch kind '%1'","Nie można odtworzyć powtórki: nieznany rodzaj uruchomienia „%1”"
"Cannot start skirmish: renderer not initialized","Nie można rozpocząć potyczki: renderer nie został zainicjowany"
"Save: not initialized","Zapis: nie zainicjowano"
"A save is already in progress","Zapis już trwa"
"Queued","W kolejce"
"Cancelling...","Anulowanie..."
"Load: not initialized","Wczytywanie: nie zainicjowano"
"Manpower limit reached.","Osiągnięto limit ludzi."
"Not enough reserve — build a home to raise more families.","Za mało rezerwy — zbuduj dom, by przybyło rodzin."
"%1/%2 walls  •  %3 wood","mury %1/%2  •  drewno %3"
"Low","Niska"
"Medium","Średnia"
"High","Wysoka"
"Ultra","Ultra"
"Playable on weak hardware: no cast shadows or post-processing, sparse grass, reduced detail beyond a few metres.","Grywalne na słabym sprzęcie: bez rzucanych cieni i efektów końcowych, rzadka trawa, mniej szczegółów dalej niż kilka metrów."
"Small cast shadows, lighter shaders, reduced detail at distance. For integrated graphics.","Małe rzucane cienie, lżejsze shadery, mniej szczegółów w oddali. Dla grafiki zintegrowanej."
"Everything as designed: full detail everywhere, full shadows and post-processing. Recommended.","Wszystko tak, jak zaprojektowano: pełne szczegóły wszędzie, pełne cienie i efekty końcowe. Zalecane."
"High plus contact-hardening shadows, foliage translucency, extra terrain detail and 8x anti-aliasing. Needs a strong GPU.","Wysoka plus cienie twardniejące przy kontakcie, prześwitujące liście, dodatkowe szczegóły terenu i wygładzanie 8x. Wymaga mocnej karty graficznej."
"%1 FPS","%1 kl./s"
"%1 m","%1 m"
"%1s","%1 s"
"Give it","Wydanie"
"Press Guard, then click the ground to hold. Right-click cancels.","Naciśnij Strzeż, a potem kliknij ziemię, której mają pilnować. Prawy przycisk anuluje."
"Reach","Zasięg"
"They fight what comes within %1 of that spot, and drop a target that leaves it.","Biją się z tym, co wejdzie w %1 od punktu, i porzucają cel, który go opuści."
"After","Potem"
"They walk back to the spot when the fight ends.","Po walce wracają na swój punkt."
"Release","Zwolnij"
"Press Guard again, or order a move or attack. Stop does not lift it.","Naciśnij Strzeż ponownie albo wydaj rozkaz ruchu lub ataku. Stój tego nie zdejmuje."
"Troops","Oddziały"
"Any soldier, and the commander.","Każdy żołnierz oraz dowódca."
"vs Hold","a Trzymaj"
"Guards step out to meet the enemy; Hold never moves.","Strzegący wychodzą naprzeciw wrogowi; Trzymaj nigdy nie rusza się z miejsca."
"Press Hold. There is nothing to click.","Naciśnij Trzymaj. Nie ma w co klikać."
"Stance","Postawa"
"They kneel, strike whatever reaches them, and never pursue.","Klękają, biją to, co do nich dojdzie, i nigdy nie ruszają w pościg."
"Dug in","Okopani"
"Archers reach %1% further and spearmen %2%; both hit %3% harder, take %4% more punishment, and braced spears break a charge.","Łucznicy sięgają o %1% dalej, a włócznicy o %2%; jedni i drudzy biją o %3% mocniej, wytrzymują o %4% więcej, a podparte włócznie łamią szarżę."
"Press Hold again, or order a move, attack or Stop. Standing up takes a moment.","Naciśnij Trzymaj ponownie albo wydaj rozkaz ruchu, ataku lub Stój. Powstanie zajmuje chwilę."
"Archers and spearmen only.","Tylko łucznicy i włócznicy."
"vs Guard","a Strzeż"
"Guard would chase; Hold trades that for reach and staying power.","Strzeż ruszy w pościg; Trzymaj oddaje to za zasięg i wytrwałość."
"Press Patrol, left-click the first waypoint, then left-click the second. Right-click cancels.","Naciśnij Patroluj, kliknij lewym pierwszy punkt, potem lewym drugi. Prawy przycisk anuluje."
"Route","Trasa"
"They march between the two points for good, attacking whatever crosses the line.","Maszerują między dwoma punktami bez końca, atakując wszystko, co przetnie linię."
"Any other order, or Stop, clears the route.","Każdy inny rozkaz albo Stój kasuje trasę."
"Every soldier and the commander.","Każdy żołnierz i dowódca."
"Effect","Skutek"
"Nearby troops fight with steadier morale and the commander's own bonus.","Pobliskie oddziały walczą z pewniejszym morale i z premią samego dowódcy."
"%1 around the commander, and it moves with him.","%1 wokół dowódcy — i przesuwa się razem z nim."
"Lasts","Trwa"
"Recharge","Odnowienie"
"%1 once it fades. A wounded commander cannot call it.","%1 od chwili wygaśnięcia. Ranny dowódca nie może jej wezwać."
"Your own living troops inside the ring; a glow marks each one.","Twoje żywe oddziały wewnątrz kręgu; każdy znaczy poświata."
"Wood only","Tylko drewno"
"Stone only","Tylko kamień"
"Iron only","Tylko żelazo"
"Food first","Najpierw żywność"
"Any resource","Dowolny surowiec"
"Click waypoint 1","Kliknij punkt 1"
"Click waypoint 2","Kliknij punkt 2"
"On patrol","Na patrolu"
"Active %1","Aktywna %1"
"Ready in %1","Gotowa za %1"
"Ready","Gotowe"
"Holding a spot","Trzyma punkt"
"Select troops first","Najpierw zaznacz oddziały"
"No troops selected","Nie zaznaczono oddziałów"
"Orders ready","Rozkazy gotowe"
"Patrol: click the second waypoint","Patrol: kliknij drugi punkt"
"Patrol: click the first waypoint","Patrol: kliknij pierwszy punkt"
"Guard: click the spot to hold","Straż: kliknij punkt do pilnowania"
"Guarding a spot","Pilnuje punktu"
"Attack order","Rozkaz ataku"
"Medic order","Rozkaz medyczny"
"Engineer order","Rozkaz inżynieryjny"
"Repair order","Rozkaz naprawy"
"Dismantle order","Rozkaz rozbiórki"
"Collection order","Rozkaz zbierania"
"Barracks delivery","Dostawa do koszar"
"Formation order","Rozkaz szyku"
"Rally order","Rozkaz zbiórki"
"Stop command","Komenda Stój"
"Attack","Atakuj"
"Send the selected troops at one enemy unit or building.","Poślij zaznaczone oddziały na jedną wrogą jednostkę lub budowlę."
"Press Attack, then left-click the target. Right-click cancels. A right-click on an enemy does the same thing.","Naciśnij Atakuj, potem kliknij cel lewym przyciskiem. Prawy anuluje. Prawy przycisk na wrogu robi to samo."
"Scope","Zakres"
"They chase the target until it dies or you order otherwise.","Ścigają cel, dopóki nie zginie albo nie rozkażesz inaczej."
"Every fighting unit; healers and builders sit it out.","Każda jednostka bojowa; uzdrowiciele i budowniczowie stoją z boku."
"Attack is not available for the current selection","Atak nie jest dostępny dla obecnego zaznaczenia"
"Guard","Strzeż"
"Anchor troops to a spot. They step out to meet what comes near, then walk back.","Zakotwicz oddziały w punkcie. Wychodzą naprzeciw temu, co się zbliży, i wracają."
"Guard is not available for the current selection","Straż nie jest dostępna dla obecnego zaznaczenia"
"Patrol","Patroluj"
"March a beat between two points and fight whatever crosses it.","Maszeruj tam i z powrotem między dwoma punktami i bij wszystko, co je przetnie."
"Patrol is not available for the current selection","Patrol nie jest dostępny dla obecnego zaznaczenia"
"Medic","Medyk"
"Healers tend the wounded around them on their own.","Uzdrowiciele sami opatrują rannych wokół siebie."
"Passive","Bierne"
"There is nothing to press: a healer mends nearby allies whenever they are hurt.","Nie ma nic do naciśnięcia: uzdrowiciel leczy pobliskich sojuszników, gdy tylko są ranni."
"Healers only. Keep them behind the line and they will work.","Tylko uzdrowiciele. Trzymaj ich za linią, a będą pracować."
"Healers automatically heal nearby allies. This is passive, not a manual order.","Uzdrowiciele leczą pobliskich sojuszników automatycznie. To dzieje się samo, nie jest rozkazem."
"Select healer units","Zaznacz uzdrowicieli"
"Stop","Stój"
"Drop everything the selected troops are doing and stand still.","Porzuć wszystko, co robią zaznaczone oddziały, i stój w miejscu."
"Clears","Kasuje"
"Movement, the current target, Patrol, Hold, formation and gathering orders.","Ruch, obecny cel, patrol, trzymanie pozycji, szyk i rozkazy zbierania."
"Keeps","Zostawia"
"Guard: press Guard again to release troops from their anchor.","Straż: naciśnij Strzeż ponownie, by zwolnić oddziały z kotwicy."
"Hold","Trzymaj"
"Stand fast. Troops dig in where they are, hit harder and further, and never pursue.","Ani kroku wstecz. Oddziały okopują się tam, gdzie stoją, biją mocniej i dalej, i nigdy nie ruszają w pościg."
"Hold is only available to archers and spearmen","Trzymaj jest dostępne tylko dla łuczników i włóczników"
"Build","Buduj"
"Open the builder's structure list and place one.","Otwórz listę budowli budowniczego i postaw jedną z nich."
"Pick a structure, move the outline onto flat clear ground, scroll or press [ and ] to rotate, left-click to confirm. Right-click cancels.","Wybierz budowlę, przesuń obrys na płaski, wolny grunt, obróć kółkiem albo klawiszami [ i ], a potem zatwierdź lewym przyciskiem. Prawy anuluje."
"Builders only.","Tylko budowniczowie."
"Build is only available to builders","Budowanie jest dostępne tylko dla budowniczych"
"Collect","Zbieraj"
"Send a builder to fell a tree, break a boulder, work an ore seam, reap a ripe farm or slaughter a sheep.","Wyślij budowniczego, by ściął drzewo, rozbił głaz, wybrał żyłę rudy, zżął dojrzałe pole albo ubił owcę."
"Press Collect, then left-click the node. Right-click cancels.","Naciśnij Zbieraj, potem kliknij źródło lewym przyciskiem. Prawy anuluje."
"The load only counts once it is dropped at the yard beside a barracks.","Ładunek liczy się dopiero po odstawieniu go na dziedziniec przy koszarach."
"Collect is only available to builders","Zbieranie jest dostępne tylko dla budowniczych"
"Auto Gather","Auto-zbieranie"
"Auto","Auto"
"Builders keep finding and working the nearest resource on their own.","Budowniczowie sami znajdują najbliższy surowiec i przy nim pracują."
"Runs until you stop it; any new order cancels it.","Trwa, dopóki tego nie przerwiesz; każdy nowy rozkaz je anuluje."
"Pick a resource","Wybierz surowiec"
"Press again to cycle any resource, wood, stone, iron, food, then off.","Naciskaj, by przełączać: dowolny surowiec, drewno, kamień, żelazo, żywność, a potem wyłączone."
"Auto Gather is only available to builders","Auto-zbieranie jest dostępne tylko dla budowniczych"
"Repair","Napraw"
"Send a builder to mend one of your damaged buildings.","Wyślij budowniczego, by naprawił jedną z twoich uszkodzonych budowli."
"Press Repair, then left-click the damaged building. Right-click cancels.","Naciśnij Napraw, potem kliknij uszkodzoną budowlę lewym przyciskiem. Prawy anuluje."
"Repair is only available to builders","Naprawa jest dostępna tylko dla budowniczych"
"Dismantle","Rozbierz"
"Scrap","Złom"
"Send builders to take one of your own buildings apart and get part of its cost back.","Wyślij budowniczych, by rozebrali jedną z twoich budowli i odzyskali część jej kosztu."
"Press Dismantle, then left-click your building. Right-click cancels.","Naciśnij Rozbierz, potem kliknij swoją budowlę lewym przyciskiem. Prawy anuluje."
"Pays back","Zwraca"
"Part of what it cost, once the work finishes. Calling the crew off pays nothing.","Część tego, co kosztowała, po ukończeniu pracy. Odwołanie ekipy nie daje nic."
"Crew","Ekipa"
"Builders only; up to three of them speed it up.","Tylko budowniczowie; do trzech przyspiesza pracę."
"Dismantle is only available to builders","Rozbiórka jest dostępna tylko dla budowniczych"
"Split","Podziel"
"Break the selected squad into two smaller ones so they can work or fight in two places at once.","Podziel zaznaczony oddział na dwa mniejsze, by pracowały lub walczyły w dwóch miejscach naraz."
"Each half","Każda połowa"
"Carries half the men, half the health and does its work at half the speed.","Bierze połowę ludzi, połowę zdrowia i pracuje o połowę wolniej."
"Needs","Wymaga"
"A squad of at least four still standing.","Oddziału, w którym stoi jeszcze co najmniej czterech."
"This squad is too small to divide","Ten oddział jest za mały, by go dzielić"
"Join","Połącz"
"Fold two understrength squads of the same kind back into one.","Złóż z powrotem w jedno dwa niepełne oddziały tego samego rodzaju."
"Two squads of the same kind, both below full strength and standing close together.","Dwóch oddziałów tego samego rodzaju, obu poniżej pełnego stanu i stojących blisko siebie."
"Result","Wynik"
"One squad with their men and health added together, up to a full establishment.","Jeden oddział z sumą ludzi i zdrowia, do pełnego etatu."
"Select two understrength squads of the same kind","Zaznacz dwa niepełne oddziały tego samego rodzaju"
"Deliver","Odstaw"
"Send civilians to a barracks to refill the reserve it recruits from.","Wyślij cywilów do koszar, by uzupełnili rezerwę, z której rekrutują."
"Press Deliver, then left-click a friendly barracks. Right-click cancels.","Naciśnij Odstaw, potem kliknij przyjazne koszary lewym przyciskiem. Prawy anuluje."
"Civilians only; other selected units ignore it.","Tylko cywile; pozostałe zaznaczone jednostki to zignorują."
"Deliver is only available to civilians","Odstawianie jest dostępne tylko dla cywilów"
"Rally","Zbiórka"
"The commander plants a flag and the army marches to it.","Dowódca wbija sztandar, a armia maszeruje do niego."
"Press Rally, then left-click where the flag should stand. He walks there and plants it.","Naciśnij Zbiórka, potem kliknij lewym miejsce, gdzie ma stanąć sztandar. Dowódca podejdzie tam i go wbije."
"Troops near the flag march in; it also steadies wavering men.","Oddziały w pobliżu sztandaru nadciągają; podnosi też chwiejących się ludzi."
"Needs your commander selected.","Wymaga zaznaczonego dowódcy."
"Select a commander to use rally","Zaznacz dowódcę, by użyć zbiórki"
"Gate","Brama"
"Cycle the selected gates: automatic, held open, held shut.","Przełącz zaznaczone bramy: automatyczne, trzymane otwarte, trzymane zamknięte."
"Automatic gates open for your own troops and shut behind them.","Automatyczne bramy otwierają się przed twoimi oddziałami i zamykają za nimi."
"Select one of your own gates.","Zaznacz jedną ze swoich bram."
"Select one of your gates to control it","Zaznacz swoją bramę, by nią sterować"
"Aura","Aura"
"The commander empowers the troops around him for a while, then must recharge.","Dowódca na jakiś czas wzmacnia otaczające go oddziały, a potem musi odzyskać siły."
"Select a ready commander to activate the aura","Zaznacz gotowego dowódcę, by włączyć aurę"
"ORDERS","ROZKAZY"
"Right-click to cancel","Prawy przycisk anuluje"
"TARGET","CEL"
"%n attacking","%n atakuje | %n atakują | %n atakuje"
"%1%","%1%"
"Automatic","Automatycznie"
"No specialist actions for this selection","Brak działań specjalnych dla tego zaznaczenia"
"Select troops to reveal their specialist actions","Zaznacz oddziały, by pokazać ich działania specjalne"
"Commander","Dowódca"
"Commander unavailable","Dowódca niedostępny"
"Choose destination","Wybierz cel"
"Planting flag","Wbija sztandar"
"Moving commander","Dowódca w drodze"
"Flag active","Sztandar wbity"
"Ready","Gotowe"
"Left-click a destination to confirm the rally flag.","Kliknij lewym miejsce, by zatwierdzić sztandar zbiórki."
"The commander is planting the flag. Interruptions will cancel the rally.","Dowódca wbija sztandar. Przerwanie anuluje zbiórkę."
"The commander is marching to the chosen point before planting the flag.","Dowódca maszeruje do wybranego punktu, zanim wbije sztandar."
"Troops have already received a normal move order to this rally flag.","Oddziały dostały już zwykły rozkaz ruchu do tego sztandaru zbiórki."
"Choose a destination, march there, plant the flag, then order all controllable troops there.","Wybierz miejsce, dojdź tam, wbij sztandar, a potem poślij tam wszystkie oddziały pod twoją kontrolą."
"Cancel Rally Placement","Anuluj ustawianie zbiórki"
"Rally In Progress","Zbiórka w toku"
"Reposition Rally [R]","Przestaw zbiórkę [R]"
"Place Rally [R]","Ustaw zbiórkę [R]"
"Vanguard Rush","Skok straży przedniej"
"Explode forward into the focused enemy and open a punish.","Wybuchnij naprzód na wskazanego wroga i otwórz okno kary."
"Second Wind","Drugi oddech"
"Recover posture and stamina, then steady yourself for the next exchange.","Odzyskaj postawę i wytrzymałość, a potem zbierz się przed kolejną wymianą."
"Weapon Special / Shield Bash","Sztuka broni / Uderzenie tarczą"
"Use your weapon technique, or hold guard for a shield-bash stagger burst.","Użyj techniki broni albo przytrzymaj gardę, by uderzeniem tarczy wytrącić wroga z równowagi."
"Command Aura","Aura dowodzenia"
"Temporarily empower nearby troops. A glow marks every affected soldier.","Tymczasowo wzmacnia pobliskie oddziały. Poświata znaczy każdego objętego żołnierza."
"Disconnected","Rozerwany dystans"
"Guard broken","Garda złamana"
"Punish window","Okno kary"
"Sprinting","Sprint"
"Steady","Pewna postawa"
"COMMANDER","DOWÓDCA"
"Frontline command","Dowodzenie z pierwszej linii"
"Aura active","Aura aktywna"
"Aura ready","Aura gotowa"
"Aura cooling","Aura stygnie"
"HP %1/%2","PŻ %1/%2"
"STM %1%","WYT %1%"
"Stable","Stabilnie"
"Posture","Postawa"
"State: %1","Stan: %1"
"Perfect guard live","Idealna parada aktywna"
"Finisher primed","Wykończenie gotowe"
"Aura %1","Aura %1"
"empowers nearby troops","wzmacnia pobliskie oddziały"
"is recovering","odzyskuje siły"
"Camera: %1","Kamera: %1"
"Chase","Pościg"
"ORDERS","ROZKAZY"
"ABILITIES","ZDOLNOŚCI"
"Rally","Zbiórka"
"Command Aura Active · %1s","Aura dowodzenia aktywna · %1 s"
"Activate Command Aura [3]","Włącz aurę dowodzenia [3]"
"Command Aura · %1s cooldown","Aura dowodzenia · %1 s odnowienia"
"Temporarily empower nearby troops. Every affected soldier receives a visible glow.","Tymczasowo wzmacnia pobliskie oddziały. Każdy objęty żołnierz dostaje widoczną poświatę."
"The aura is not ready yet.","Aura jeszcze nie jest gotowa."
"Combo","Kombinacja"
"%1 [%2]","%1 [%2]"
"COMBAT CONTROLS","STEROWANIE W WALCE"
"[LMB] Strike  [RMB] Guard","[LPM] Cios  [PPM] Garda"
"[Space] Dodge  [Alt] Jump","[Spacja] Unik  [Alt] Skok"
"[WASD] Move  [Shift] Sprint","[WASD] Ruch  [Shift] Sprint"
"[Tab] Cycle Target  [3] Aura  [C] Camera","[Tab] Zmiana celu  [3] Aura  [C] Kamera"
"[R] Rally Orders  [Enter] Return to RTS","[R] Rozkazy zbiórki  [Enter] Powrót do RTS"
"[F] Bash  [1] Rush  [2] Second Wind","[F] Tarcza  [1] Skok  [2] Drugi oddech"
"[Tab] Target  [1] Rush  [2] Second Wind  [3] Aura  [F] Bash","[Tab] Cel  [1] Skok  [2] Drugi oddech  [3] Aura  [F] Tarcza"
"[R] Place Rally  [C] Camera  [Enter] Return to RTS","[R] Ustaw zbiórkę  [C] Kamera  [Enter] Powrót do RTS"
"Rally autopilot engaged until the flag is planted","Autopilot zbiórki włączony do chwili wbicia sztandaru"
"Combat HUD synced for close-quarters command","HUD walki zestrojony do dowodzenia z bliska"
"First-person command engaged","Dowodzenie z perspektywy pierwszej osoby włączone"
"Armies of the field","Armie na polu bitwy"
"Following: %1","Śledzisz: %1"
"Follow the previous army","Śledź poprzednią armię"
"Follow the next army","Śledź następną armię"
"Manpower %1/%2","Ludzie %1/%2"
"Holdings %1","Posiadłości %1"
"Trained %1","Wyszkolonych %1"
"Kills %1  Losses %2","Zabitych %1  Strat %2"
"the whole field","całe pole"
"All objectives complete","Wszystkie cele wykonane"
"(%1/%2)","(%1/%2)"
"Click to look at the objective.","Kliknij, by spojrzeć na cel."
"[You]","[Ty]"
"Resume","Wznów"
"Pause","Pauza"
"Battle speed %1","Tempo bitwy %1"
"Battle speed","Tempo bitwy"
"Follow the selection with the camera","Śledź zaznaczenie kamerą"
"Return the camera to your camp (%1)","Wróć kamerą do obozu (%1)"
"Hide the camera controls","Ukryj sterowanie kamerą"
"Show how to move the camera","Pokaż, jak poruszać kamerą"
"Camera controls","Sterowanie kamerą"
"Open the field manual (help)","Otwórz podręcznik polowy (pomoc)"
"SPECTATOR","OBSERWATOR"
"Watching a CPU-only match. You cannot issue commands.","Oglądasz mecz samych komputerów. Nie możesz wydawać rozkazów."
"Resource and building guide","Przewodnik po surowcach i budowlach"
"Manpower","Ludzie"
"Manpower in the field: %1 of %2.\nEvery troop costs manpower; a squad of twelve builders costs ten. This is not a headcount - the selection panel counts soldiers.","Ludzie w polu: %1 z %2.\nKażdy oddział kosztuje ludzi; oddział dwunastu budowniczych kosztuje dziesięciu. To nie jest liczba głów — panel zaznaczenia liczy żołnierzy."
"Human players","Gracze ludzcy"
"AI players","Gracze komputerowi"
"Enemies defeated","Wrogowie pokonani"
"Minimap","Minimapa"
"MINIMAP","MINIMAPA"
"Left click moves the camera, right click orders selected troops.\nVisible: currently scouted, enemies shown.\nExplored: seen before, terrain only.\nUnseen: never scouted.","Lewy przycisk przesuwa kamerę, prawy wydaje rozkaz zaznaczonym oddziałom.\nWidoczne: właśnie rozpoznane, wrogowie są pokazani.\nZbadane: widziane wcześniej, sam teren.\nNieznane: nigdy nie rozpoznane."
"Visible","Widoczne"
"Explored","Zbadane"
"Unseen","Nieznane"
"Basics","Podstawy"
"Economy","Gospodarka"
"Buildings","Budowle"
"Army","Armia"
"Commander","Dowódca"
"Camera","Kamera"
"Controls","Sterowanie"
"Tutorial","Samouczek"
"Selecting","Zaznaczanie"
"Left-click a unit to select it, or hold the left button and drag a box around several. Hold Ctrl to add to the selection. Selected units show a ring at their feet, and the panel at the bottom lists them by type - click a type to keep only those.","Kliknij jednostkę lewym przyciskiem, by ją zaznaczyć, albo przytrzymaj lewy i zakreśl ramką kilka. Przytrzymaj Ctrl, by dodać do zaznaczenia. Zaznaczone jednostki mają pierścień u stóp, a panel na dole wypisuje je według typu — kliknij typ, by zostawić tylko te."
"Giving orders","Wydawanie rozkazów"
"Right-click the ground to move, right-click an enemy to attack. Hold the right button and drag before releasing to choose the way the troops will face: one unit turns to face where you drag, several units are placed in formation facing it. The command grid offers Attack, Guard, Patrol, Hold, Stop and the builder and commander orders. A marker shows where troops are going and the banner above the grid confirms each order - or explains why it was refused.","Kliknij ziemię prawym przyciskiem, by iść, kliknij wroga prawym, by go zaatakować. Przytrzymaj prawy i przeciągnij przed puszczeniem, by wybrać kierunek, w którym staną oddziały: jedna jednostka obraca się tam, gdzie przeciągasz, kilka ustawia się w szyku zwróconym w tę stronę. Siatka poleceń oferuje Atakuj, Strzeż, Patroluj, Trzymaj, Stój oraz rozkazy budowniczego i dowódcy. Znacznik pokazuje, dokąd idą oddziały, a baner nad siatką potwierdza każdy rozkaz — albo tłumaczy, czemu został odrzucony."
"Guard - hold a spot","Strzeż — pilnuj punktu"
"Press Guard, then left-click the ground the troops should hold. They fight anything that comes within about 10 m of that spot, let go of anything that runs past it, and walk back once the fight is over. Press Guard again, or give a move or attack order, to release them; Stop alone will not lift it. Any soldier can guard.","Naciśnij Strzeż, potem kliknij lewym ziemię, której oddziały mają pilnować. Biją się ze wszystkim, co wejdzie mniej więcej na 10 m od punktu, puszczają to, co przebiegnie dalej, i wracają po walce. Naciśnij Strzeż ponownie albo wydaj rozkaz ruchu lub ataku, by je zwolnić; samo Stój tego nie zdejmie. Strzec może każdy żołnierz."
"Hold - stand fast","Trzymaj — ani kroku wstecz"
"Press Hold and the troops kneel where they stand. They never take a step, but they reach further, hit harder and take more punishment than they would on the move, and braced spears gut a cavalry charge. That is the trade: pursuit for staying power. Press Hold again, or give a move, attack or Stop order, to stand them up. Only archers and spearmen can hold.","Naciśnij Trzymaj, a oddziały przyklękną tam, gdzie stoją. Nie zrobią ani kroku, ale sięgają dalej, biją mocniej i wytrzymują więcej niż w ruchu, a podparte włócznie wypruwają szarżę jazdy. Taka jest wymiana: pościg za wytrwałość. Naciśnij Trzymaj ponownie albo wydaj rozkaz ruchu, ataku lub Stój, by je postawić. Trzymać mogą tylko łucznicy i włócznicy."
"Patrol - walk a beat","Patroluj — chodź swoją trasą"
"Press Patrol, left-click the first waypoint, then left-click the second. The troops march between the two points for good and attack whatever crosses the line - useful for watching a flank while you look elsewhere. Right-click cancels while you are setting it; any other order, or Stop, clears the route.","Naciśnij Patroluj, kliknij lewym pierwszy punkt, potem lewym drugi. Oddziały maszerują między nimi bez końca i atakują wszystko, co przetnie linię — przydatne, gdy pilnujesz skrzydła, patrząc gdzie indziej. Prawy przycisk anuluje w trakcie ustawiania; każdy inny rozkaz albo Stój kasuje trasę."
"Winning and losing","Zwycięstwo i porażka"
"Each mission states its own victory and defeat conditions in the Objectives screen (Escape, then Objectives). In every battle your commander must survive: a nation dies with the man who leads it, and a lone commander is already lost.","Każda misja podaje własne warunki zwycięstwa i porażki na ekranie Celów (Escape, potem Cele). W każdej bitwie twój dowódca musi przeżyć: naród umiera wraz z człowiekiem, który go prowadzi, a samotny dowódca jest już przegrany."
"The three materials","Trzy surowce"
"Wood comes from pine trees, stone from boulders and iron from ore seams. A builder harvests a node with Collect (or Auto Gather), then carries the load to the stone yard beside a friendly barracks. Only when it is dropped there does the counter in the top bar rise. The yard's piles grow and shrink with your stores.","Drewno pochodzi z sosen, kamień z głazów, a żelazo z żył rudy. Budowniczy obrabia źródło rozkazem Zbieraj (albo auto-zbieraniem), a potem niesie ładunek na skład przy przyjaznych koszarach. Dopiero po jego złożeniu licznik na górnym pasku rośnie. Stosy na składzie rosną i maleją razem z twoimi zapasami."
"Food","Żywność"
"Food feeds your settlement: every civilian recruited at a Home costs it. A Farm grows grain in cycles; when the field turns gold a builder reaps it with Collect and hauls the grain home, and the field is sown again. Builders can also slaughter a sheep for a smaller haul. Auto Gather set to food keeps a builder working the farms.","Żywność karmi twoją osadę: kosztuje jej każdy cywil zrekrutowany w Domu. Farma uprawia zboże w cyklach; gdy pole złocieje, budowniczy zżyna je rozkazem Zbieraj i zwozi ziarno, po czym pole jest obsiewane na nowo. Budowniczowie mogą też ubić owcę dla mniejszego łupu. Auto-zbieranie ustawione na żywność każe budowniczemu pracować przy farmach."
"Gold and trade","Złoto i handel"
"Gold comes with the camp and cannot be mined. A marketplace lets you buy materials for gold and sell surplus for it; a temple costs gold to raise.","Złoto przychodzi razem z obozem i nie da się go wydobyć. Targowisko pozwala kupować za nie materiały i sprzedawać nadmiar; świątynia kosztuje złoto."
"Costs","Koszty"
"Every card - recruit or building - lists its price. A grey card means something is short; hover it to read what. Homes cost 50 wood and 15 stone, a farm 40 wood and 10 stone, a barracks 100 wood and 60 stone, a defence tower 60 wood and 80 stone; soldiers cost wood and iron plus reserve, and civilians cost food.","Każda karta — rekruta czy budowli — podaje swoją cenę. Szara karta znaczy, że czegoś brakuje; najedź na nią, by przeczytać czego. Domy kosztują 50 drewna i 15 kamienia, farma 40 drewna i 10 kamienia, koszary 100 drewna i 60 kamienia, wieża obronna 60 drewna i 80 kamienia; żołnierze kosztują drewno i żelazo oraz rezerwę, a cywile żywność."
"Placing a structure","Stawianie budowli"
"Select a builder and press Build to open the structure list. Move the outline over the ground: green means flat, clear ground; red means it is blocked by another building, water or a slope. Scroll to rotate, left-click to confirm, right-click to cancel. The builder walks over and works until it stands.","Zaznacz budowniczego i naciśnij Buduj, by otworzyć listę budowli. Przesuń obrys nad ziemią: zielony znaczy płaski, wolny grunt; czerwony — że blokuje go inna budowla, woda albo stok. Kółko obraca, lewy przycisk zatwierdza, prawy anuluje. Budowniczy podchodzi i pracuje, aż budowla stanie."
"What each building does","Co robi każda budowla"
"Barracks recruit soldiers and hold your stockpile yard. Homes raise families and civilians. Farms grow grain that builders reap for food. Defence towers shoot at anything in range. Marketplaces trade. Temples strengthen morale and take in healers. Walls and gates shape the field; gates open for your own troops.","Koszary rekrutują żołnierzy i mieszczą twój skład. Domy wychowują rodziny i cywilów. Farmy uprawiają zboże, które budowniczowie zżynają na żywność. Wieże obronne strzelają do wszystkiego w zasięgu. Targowiska handlują. Świątynie umacniają morale i przyjmują uzdrowicieli. Mury i bramy kształtują pole; bramy otwierają się przed twoimi oddziałami."
"Repair and dismantle","Naprawa i rozbiórka"
"A damaged building can be repaired by a builder with the Repair order. A building you no longer need can be taken down with the Dismantle order: pick your builders, press Dismantle and click the building. Part of what it cost comes back once the work is done, and calling the crew off before then pays nothing.","Uszkodzoną budowlę może naprawić budowniczy rozkazem Napraw. Budowlę, która nie jest już potrzebna, można zdjąć rozkazem Rozbierz: wybierz budowniczych, naciśnij Rozbierz i kliknij budowlę. Po ukończeniu pracy wraca część jej kosztu, a odwołanie ekipy wcześniej nie daje nic."
"Recruiting","Rekrutacja"
"Left-click a barracks and pick a soldier; healers take their vows at a temple instead. Recruits queue up to five deep and march out to the rally flag. Each costs reserve from the building's own pool as well as materials.","Kliknij koszary lewym przyciskiem i wybierz żołnierza; uzdrowiciele składają śluby w świątyni. Rekruci ustawiają się w kolejce po pięciu i wychodzą do sztandaru zbiórki. Każdy kosztuje rezerwę z własnej puli budowli oraz materiały."
"Reserve","Rezerwa"
