"source","translation_es_ES"
"Select healer units","Selecciona unidades sanadoras"
"Build","Construir"
"Build is only available to builders","Construir solo está disponible para los constructores"
"Collect","Recoger"
"Collect is only available to builders","Recolectar solo está disponible para los constructores"
"Deliver","Entregar"
"Deliver is only available to civilians","Entregar solo está disponible para los civiles"
"Rally","Reunir"
"Select a commander to use rally","Selecciona un comandante para usar la reunión"
"Gate","Puerta"
"Cycle the selected gates: automatic, held open, held shut.","Alterna las puertas seleccionadas: automática, abierta fija, cerrada fija."
"Select one of your gates to control it","Selecciona una de tus puertas para controlarla"
"Aura","Aura"
"Select a ready commander to activate the aura","Selecciona un comandante preparado para activar el aura"
"Repair order","Orden de reparación"
"Auto Gather","Recolección automática"
"Auto Gather is only available to builders","La recolección automática solo está disponible para los constructores"
"Repair","Reparar"
"Repair is only available to builders","Reparar solo está disponible para los constructores"
"TARGET","OBJETIVO"
"%n attacking","Uno atacando | %n atacando"
"%1%","%1 %"
"%1 m","%1 m"
"%1s","%1 s"
"Give it","Darla"
"Press Guard, then click the ground to hold. Right-click cancels.","Pulsa Guardia y haz clic en el suelo que se debe mantener. Clic derecho cancela."
"Reach","Alcance"
"They fight what comes within %1 of that spot, and drop a target that leaves it.","Combaten lo que entre a %1 de ese punto y sueltan al objetivo que se aleja."
"After","Después"
"They walk back to the spot when the fight ends.","Vuelven al punto cuando termina el combate."
"Release","Liberar"
"Press Guard again, or order a move or attack. Stop does not lift it.","Pulsa Guardia otra vez, u ordena moverse o atacar. Detener no lo levanta."
"Troops","Tropas"
"Any soldier, and the commander.","Cualquier soldado, y el comandante."
"vs Hold","frente a Mantener"
"Guards step out to meet the enemy; Hold never moves.","Guardia sale al encuentro del enemigo; Mantener nunca se mueve."
"Press Hold. There is nothing to click.","Pulsa Mantener. No hay nada que clicar."
"Stance","Postura"
"They kneel, strike whatever reaches them, and never pursue.","Se arrodillan, golpean a lo que les alcanza y nunca persiguen."
"Dug in","Atrincherados"
"Archers reach %1% further and spearmen %2%; both hit %3% harder, take %4% more punishment, and braced spears break a charge.","Los arqueros alcanzan un %1% más y los lanceros un %2%; ambos golpean un %3% más fuerte, aguantan un %4% más, y las lanzas afirmadas rompen una carga."
"Press Hold again, or order a move, attack or Stop. Standing up takes a moment.","Pulsa Mantener otra vez, u ordena moverse, atacar o Detener. Levantarse lleva un momento."
"Archers and spearmen only.","Solo arqueros y lanceros."
"vs Guard","frente a Guardia"
"Guard would chase; Hold trades that for reach and staying power.","Guardia perseguiría; Mantener cambia eso por alcance y resistencia."
"Press Patrol, left-click the first waypoint, then left-click the second. Right-click cancels.","Pulsa Patrulla, haz clic izquierdo en el primer punto de ruta y luego en el segundo. Clic derecho cancela."
"Route","Ruta"
"They march between the two points for good, attacking whatever crosses the line.","Marchan entre los dos puntos de forma permanente, atacando todo lo que cruce la línea."
"Any other order, or Stop, clears the route.","Cualquier otra orden, o Detener, borra la ruta."
"Every soldier and the commander.","Todos los soldados y el comandante."
"Effect","Efecto"
"Nearby troops fight with steadier morale and the commander's own bonus.","Las tropas cercanas combaten con una moral más firme y el bono propio del comandante."
"%1 around the commander, and it moves with him.","%1 alrededor del comandante, y se mueve con él."
"Lasts","Dura"
"Recharge","Recarga"
"%1 once it fades. A wounded commander cannot call it.","%1 una vez se desvanece. Un comandante herido no puede invocarla."
"Your own living troops inside the ring; a glow marks each one.","Tus propias tropas vivas dentro del anillo; un brillo marca a cada una."
"Click waypoint 1","Clic en el punto 1"
"Click waypoint 2","Clic en el punto 2"
"On patrol","De patrulla"
"Active %1","Activa %1"
"Ready in %1","Lista en %1"
"Ready","Listo"
"Holding a spot","Mantiene un punto"
"Patrol: click the second waypoint","Patrulla: clic en el segundo punto"
"Patrol: click the first waypoint","Patrulla: clic en el primer punto"
"Guard: click the spot to hold","Guardia: clic en el punto a mantener"
"Guarding a spot","Guardando un punto"
"Send the selected troops at one enemy unit or building.","Envía a las tropas seleccionadas contra una unidad o edificio enemigo."
"Press Attack, then left-click the target. Right-click cancels. A right-click on an enemy does the same thing.","Pulsa Ataque y haz clic izquierdo en el objetivo. Clic derecho cancela. Un clic derecho sobre un enemigo hace lo mismo."
"Scope","Alcance"
"They chase the target until it dies or you order otherwise.","Persiguen al objetivo hasta que muera o des otra orden."
"Every fighting unit; healers and builders sit it out.","Toda unidad de combate; sanadores y constructores quedan fuera."
"Anchor troops to a spot. They step out to meet what comes near, then walk back.","Ancla a las tropas en un punto. Salen al encuentro de lo que se acerca y luego regresan."
"March a beat between two points and fight whatever crosses it.","Recorre un trayecto entre dos puntos y combate todo lo que lo cruce."
"Healers tend the wounded around them on their own.","Los sanadores atienden solos a los heridos a su alrededor."
"Passive","Pasivo"
"There is nothing to press: a healer mends nearby allies whenever they are hurt.","No hay nada que pulsar: un sanador cura a los aliados cercanos cuando resultan heridos."
"Healers only. Keep them behind the line and they will work.","Solo sanadores. Mantenlos tras la línea y trabajarán."
"Drop everything the selected troops are doing and stand still.","Hace que las tropas seleccionadas lo dejen todo y se queden quietas."
"Clears","Cancela"
"Movement, the current target, Patrol, Hold, formation and gathering orders.","Movimiento, el objetivo actual, Patrulla, Mantener, formación y órdenes de recolección."
"Keeps","Conserva"
"Guard: press Guard again to release troops from their anchor.","Guardia: pulsa Guardia otra vez para soltar a las tropas de su ancla."
"Stand fast. Troops dig in where they are, hit harder and further, and never pursue.","Resistir. Las tropas se atrincheran donde están, golpean más fuerte y lejos, y nunca persiguen."
"Hold is only available to archers and spearmen","Mantener solo está disponible para arqueros y lanceros"
"Open the builder's structure list and place one.","Abre la lista de estructuras del constructor y coloca una."
"Pick a structure, move the outline onto flat clear ground, scroll to rotate, left-click to confirm. Right-click cancels.","Elige una estructura, lleva el contorno a suelo llano y despejado, usa la rueda para girar y confirma con clic izquierdo. Clic derecho cancela."
"Builders only.","Solo constructores."
"Press Collect, then left-click the node. Right-click cancels.","Pulsa Recoger y haz clic izquierdo en el recurso. Clic derecho cancela."
"The load only counts once it is dropped at the yard beside a barracks.","La carga solo cuenta una vez descargada en el patio junto a un cuartel."
"Builders keep finding and working the nearest resource on their own.","Los constructores siguen buscando y explotando por su cuenta el recurso más cercano."
"Runs until you stop it; any new order cancels it.","Continúa hasta que lo detengas; cualquier orden nueva lo cancela."
"Send a builder to mend one of your damaged buildings.","Envía a un constructor a reparar uno de tus edificios dañados."
"Press Repair, then left-click the damaged building. Right-click cancels.","Pulsa Reparar y haz clic izquierdo en el edificio dañado. Clic derecho cancela."
"Send civilians to a barracks to refill the population it recruits from.","Envía civiles a un cuartel para reponer la población de la que recluta."
"Press Deliver, then left-click a friendly barracks. Right-click cancels.","Pulsa Entregar y haz clic izquierdo en un cuartel aliado. Clic derecho cancela."
"Civilians only; other selected units ignore it.","Solo civiles; las demás unidades seleccionadas lo ignoran."
"The commander plants a flag and the army marches to it.","El comandante planta una bandera y el ejército marcha hacia ella."
"Press Rally, then left-click where the flag should stand. He walks there and plants it.","Pulsa Reunir y haz clic izquierdo donde deba estar la bandera. Él va hasta allí y la planta."
"Troops near the flag march in; it also steadies wavering men.","Las tropas cercanas a la bandera acuden; también afirma a los hombres que flaquean."
"Needs your commander selected.","Requiere tener seleccionado a tu comandante."
"Automatic gates open for your own troops and shut behind them.","Las puertas automáticas se abren para tus propias tropas y se cierran tras ellas."
"Select one of your own gates.","Selecciona una de tus propias puertas."
"The commander empowers the troops around him for a while, then must recharge.","El comandante potencia a las tropas a su alrededor un tiempo y luego debe recargar."
"Wood only","Solo madera"
"Stone only","Solo piedra"
"Iron only","Solo hierro"
"Any resource","Cualquier recurso"
"Dismantle order","Orden de desmontaje"
"Auto","Auto"
"Pick a resource","Elige un recurso"
"Dismantle","Desmontar"
"Scrap","Desarmar"
"Send builders to take one of your own buildings apart and get part of its cost back.","Envía constructores a desmontar uno de tus edificios y recuperar parte de su coste."
"Press Dismantle, then left-click your building. Right-click cancels.","Pulsa Desmontar y haz clic izquierdo en tu edificio. El clic derecho cancela."
"Pays back","Devuelve"
"Part of what it cost, once the work finishes. Calling the crew off pays nothing.","Parte de lo que costó, cuando termina el trabajo. Retirar a la cuadrilla no da nada."
"Crew","Cuadrilla"
"Builders only; up to three of them speed it up.","Solo constructores; hasta tres aceleran el trabajo."
"Dismantle is only available to builders","Desmontar solo está disponible para constructores"
"Food first","Comida primero"
"Send a builder to fell a tree, break a boulder, work an ore seam, reap a ripe farm or slaughter a sheep.","Envía un constructor a talar un árbol, romper una roca, trabajar una veta de mineral, segar una granja madura o sacrificar una oveja."
"Press again to cycle any resource, wood, stone, iron, food, then off.","Pulsa de nuevo para alternar entre cualquier recurso, madera, piedra, hierro, comida y apagado."
"Commander","Comandante"
"Commander unavailable","Comandante no disponible"
"Choose destination","Elige un destino"
"Planting flag","Plantando la bandera"
"Moving commander","Desplazando al comandante"
"Flag active","Bandera activa"
"Ready","Listo"
"Left-click a destination to confirm the rally flag.","Haz clic izquierdo en un destino para confirmar la bandera de reunión."
"The commander is planting the flag. Interruptions will cancel the rally.","El comandante está plantando la bandera. Cualquier interrupción cancelará la reunión."
"The commander is marching to the chosen point before planting the flag.","El comandante marcha al punto elegido antes de plantar la bandera."
"Troops have already received a normal move order to this rally flag.","Las tropas ya han recibido una orden de movimiento normal hacia esta bandera de reunión."
"Choose a destination, march there, plant the flag, then order all controllable troops there.","Elige un destino, marcha hasta allí, planta la bandera y ordena a todas las tropas controlables que acudan."
"Cancel Rally Placement","Cancelar la colocación de la reunión"
"Rally In Progress","Reunión en curso"
"Reposition Rally [R]","Recolocar la reunión [R]"
"Place Rally [R]","Colocar la reunión [R]"
"Vanguard Rush","Embestida de vanguardia"
"Explode forward into the focused enemy and open a punish.","Irrumpe hacia delante contra el enemigo enfocado y abre un castigo."
"Second Wind","Segundo aliento"
"Recover posture and stamina, then steady yourself for the next exchange.","Recupera postura y aguante, luego afiánzate para el siguiente intercambio."
"Shield Bash","Golpe de escudo"
"Guard-gated stagger burst that punishes enemies crowding your front.","Ráfaga de aturdimiento ligada a la guardia que castiga a los enemigos que se agolpan en tu frente."
"Command Aura","Aura de mando"
"Temporarily empower nearby troops. A glow marks every affected soldier.","Potencia temporalmente a las tropas cercanas. Un resplandor marca a cada soldado afectado."
"Disconnected","Desconectado"
"Guard broken","Guardia rota"
"Punish window","Ventana de castigo"
"Sprinting","Esprintando"
"Steady","Firme"
"COMMANDER","COMANDANTE"
"Frontline command","Mando en primera línea"
"Aura active","Aura activa"
"Aura ready","Aura lista"
"Aura cooling","Aura enfriándose"
"HP %1/%2","PS %1/%2"
"STM %1%","AGT %1%"
"Stable","Estable"
"Posture","Postura"
"Chase","Persecución"
"State: %1","Estado: %1"
"Perfect guard live","Guardia perfecta activa"
"Finisher primed","Remate preparado"
"Aura %1","Aura %1"
"empowers nearby troops","potencia a las tropas cercanas"
"is recovering","se está recuperando"
"Camera: %1","Cámara: %1"
"ORDERS","ÓRDENES"
"ABILITIES","HABILIDADES"
"Rally","Reunir"
"Command Aura Active · %1s","Aura de mando activa · %1 s"
"Activate Command Aura [3]","Activar el aura de mando [3]"
"Command Aura · %1s cooldown","Aura de mando · %1 s de recarga"
"Temporarily empower nearby troops. Every affected soldier receives a visible glow.","Potencia temporalmente a las tropas cercanas. Cada soldado afectado recibe un resplandor visible."
"Combo","Combo"
"%1 [%2]","%1 [%2]"
"COMBAT CONTROLS","CONTROLES DE COMBATE"
"[LMB] Strike  [RMB] Guard","[Clic izq.] Golpear  [Clic der.] Guardia"
"[Space] Dodge  [Alt] Jump","[Espacio] Esquivar  [Alt] Saltar"
"[WASD] Move  [Shift] Sprint","[WASD] Mover  [Mayús] Esprintar"
"[Tab] Cycle Target  [3] Aura  [C] Camera","[Tab] Cambiar objetivo  [3] Aura  [C] Cámara"
"[R] Rally Orders  [Enter] Return to RTS","[R] Órdenes de reunión  [Intro] Volver al RTS"
"[F] Bash  [1] Rush  [2] Second Wind","[F] Golpe de escudo  [1] Embestida  [2] Segundo aliento"
"[Tab] Target  [1] Rush  [2] Second Wind  [3] Aura  [F] Bash","[Tab] Objetivo  [1] Embestida  [2] Segundo aliento  [3] Aura  [F] Golpe de escudo"
"[R] Place Rally  [C] Camera  [Enter] Return to RTS","[R] Colocar reunión  [C] Cámara  [Intro] Volver al RTS"
"Rally autopilot engaged until the flag is planted","Piloto automático de reunión activo hasta que se plante la bandera"
"Combat HUD synced for close-quarters command","Interfaz de combate sincronizada para el mando cuerpo a cuerpo"
"First-person command engaged","Mando en primera persona activado"
"The aura is not ready yet.","El aura aún no está lista."
"MINIMAP","MINIMAPA"
"[You]","[Tú]"
"Resume","Reanudar"
"Pause","Pausa"
"Follow the selection with the camera","Seguir la selección con la cámara"
"SPECTATOR","ESPECTADOR"
"Watching a CPU-only match. You cannot issue commands.","Estás viendo una partida solo entre CPU. No puedes dar órdenes."
"Population","Población"
"Human players","Jugadores humanos"
"AI players","Jugadores de IA"
"Enemies defeated","Enemigos derrotados"
"Minimap","Minimapa"
"(%1/%2)","(%1/%2)"
"Resource and building guide","Guía de recursos y construcción"
"Open the field manual (help)","Abrir el manual de campaña (ayuda)"
"Battle speed %1","Velocidad de batalla %1"
"Battle speed","Velocidad de batalla"
"Hide the camera controls","Ocultar los controles de cámara"
"Show how to move the camera","Mostrar cómo mover la cámara"
"Camera controls","Controles de cámara"
"Visible","Visible"
"Explored","Explorado"
"Unseen","Sin ver"
"Left click moves the camera, right click orders selected troops.\nVisible: currently scouted, enemies shown.\nExplored: seen before, terrain only.\nUnseen: never scouted.","Clic izquierdo mueve la cámara, clic derecho da órdenes a las tropas seleccionadas.\nVisible: explorado ahora, se muestran los enemigos.\nExplorado: visto antes, solo el terreno.\nSin ver: nunca explorado."
"Return the camera to your camp (%1)","Devolver la cámara a tu campamento (%1)"
"All objectives complete","Todos los objetivos completados"
"Click to look at the objective.","Haz clic para mirar el objetivo."
"Basics","Fundamentos"
"Economy","Economía"
"Buildings","Edificios"
"Army","Ejército"
"Commander","Comandante"
"Controls","Controles"
"The tutorial is a guided first battle on a small meadow. Each step names one goal, tells you when it is done, and explains why an order is refused. It also points: the button a step is talking about lights up in the command bar, and what you are meant to act on is ringed on the field and pinned on the minimap - press Show me to swing the camera onto it. Steps can be paused, skipped and replayed at any time.","El tutorial es una primera batalla guiada en un pequeño prado. Cada paso nombra un objetivo, te dice cuándo está cumplido y explica por qué se rechaza una orden. También señala: el botón del que habla un paso se ilumina en la barra de mando, y aquello sobre lo que debes actuar se rodea en el campo y se marca en el minimapa; pulsa Muéstramelo para girar la cámara hacia ello. Los pasos se pueden pausar, omitir y repetir en cualquier momento."
"Tutorial","Tutorial"
"Selecting","Seleccionar"
"Left-click a unit to select it, or hold the left button and drag a box around several. Hold Ctrl to add to the selection. Selected units show a ring at their feet, and the panel at the bottom lists them by type - click a type to keep only those.","Haz clic izquierdo en una unidad para seleccionarla, o mantén pulsado el botón izquierdo y traza un recuadro alrededor de varias. Mantén Ctrl para añadir a la selección. Las unidades seleccionadas muestran un anillo a sus pies, y el panel inferior las enumera por tipo: haz clic en un tipo para quedarte solo con esas."
"Giving orders","Dar órdenes"
"Winning and losing","Ganar y perder"
"Each mission states its own victory and defeat conditions in the Objectives screen (Escape, then Objectives). In every battle your commander must survive: a nation dies with the man who leads it, and a lone commander is already lost.","Cada misión indica sus propias condiciones de victoria y derrota en la pantalla de Objetivos (Escape y luego Objetivos). En toda batalla tu comandante debe sobrevivir: una nación muere con el hombre que la dirige, y un comandante solo ya está perdido."
"The three materials","Los tres materiales"
"Wood comes from pine trees, stone from boulders and iron from ore seams. A builder harvests a node with Collect (or Auto Gather), then carries the load to the stone yard beside a friendly barracks. Only when it is dropped there does the counter in the top bar rise. The yard's piles grow and shrink with your stores.","La madera viene de los pinos, la piedra de las rocas y el hierro de las vetas de mineral. Un constructor cosecha un nodo con Recolectar (o Recolección automática) y luego lleva la carga al patio de piedra junto a un cuartel aliado. Solo cuando la deja allí sube el contador de la barra superior. Los montones del patio crecen y menguan con tus reservas."
"Gold and trade","Oro y comercio"
"Gold comes with the camp and cannot be mined. A marketplace lets you buy materials for gold and sell surplus for it; a temple costs gold to raise.","El oro viene con el campamento y no se puede extraer. Un mercado te permite comprar materiales con oro y vender excedentes por oro; un templo cuesta oro para levantarlo."
"Costs","Costes"
"Placing a structure","Colocar una estructura"
"Select a builder and press Build to open the structure list. Move the outline over the ground: green means flat, clear ground; red means it is blocked by another building, water or a slope. Scroll to rotate, left-click to confirm, right-click to cancel. The builder walks over and works until it stands.","Selecciona un constructor y pulsa Construir para abrir la lista de estructuras. Mueve el contorno sobre el terreno: verde significa terreno llano y despejado; rojo significa que lo bloquea otro edificio, agua o una pendiente. Desplaza la rueda para girar, clic izquierdo para confirmar, clic derecho para cancelar. El constructor se acerca y trabaja hasta que queda en pie."
"What each building does","Qué hace cada edificio"
"Repair and dismantle","Reparar y desmantelar"
"Recruiting","Reclutamiento"
"Population","Población"
"Formations and lines","Formaciones y líneas"
"The standard","El estandarte"
"Your commander carries the standard. Troops close to him fight with higher morale, and morale decides who breaks first. Keep him behind the spears: if he falls the mission is lost.","Tu comandante porta el estandarte. Las tropas cercanas luchan con más moral, y la moral decide quién se quiebra primero. Mantenlo detrás de las lanzas: si cae, la misión se pierde."
"Aura and Rally","Aura y Reunión"
"Taking direct control","Tomar el control directo"
"Where the mission allows it, you can step into the commander's boots and lead from the field. The controls for that mode are listed under Controls.","Cuando la misión lo permite, puedes ponerte en la piel del comandante y dirigir desde el campo. Los controles de ese modo se enumeran en Controles."
"Pace and view","Ritmo y vista"
"Field manual","Manual de campaña"
"Field Manual","Manual de campaña"
"Close the field manual","Cerrar el manual de campaña"
"unbound","sin asignar"
"%1. %2","%1. %2"
"Start the tutorial","Iniciar el tutorial"
"Show tutorial card","Mostrar la tarjeta del tutorial"
"Restart the steps","Reiniciar los pasos"
"Close","Cerrar"
"Camera","Cámara"
"The top-left buttons pause the battle and set the speed, from half up to quadruple; Space pauses too, and + and - step through the speeds. The active speed stays lit while paused and can be changed there. Move the camera with the arrow keys or WASD, or push the mouse to the screen edge; scroll or PgUp and PgDown to zoom, Q and E to rotate, Ctrl with the up and down arrows to tilt; Home returns to your camp and Follow keeps the camera on your selection. Every one of these can be rebound under Settings › Controls, where each camera command says what it does.","Los botones de la esquina superior izquierda pausan la batalla y ajustan la velocidad, de la mitad hasta el cuádruple; la barra espaciadora también pausa, y + y - recorren las velocidades. La velocidad activa permanece resaltada en pausa y puede cambiarse ahí. Mueve la cámara con las flechas o WASD, o lleva el ratón al borde de la pantalla; usa la rueda o PgUp y PgDown para el zoom, Q y E para rotar, Ctrl con las flechas arriba y abajo para inclinar; Home vuelve a tu campamento y Seguir mantiene la cámara sobre tu selección. Todo esto se puede reasignar en Ajustes › Controles, donde cada comando de cámara explica lo que hace."
"Right-click the ground to move, right-click an enemy to attack. Hold the right button and drag before releasing to choose the way the troops will face: one unit turns to face where you drag, several units are placed in formation facing it. The command grid offers Attack, Guard, Patrol, Hold, Stop and the builder and commander orders. A marker shows where troops are going and the banner above the grid confirms each order - or explains why it was refused.","Clic derecho en el suelo para mover, clic derecho sobre un enemigo para atacar. Mantén pulsado el botón derecho y arrastra antes de soltar para elegir hacia dónde mirarán las tropas: una unidad gira hacia donde arrastras, varias unidades se despliegan en formación mirando en esa dirección. La cuadrícula de órdenes ofrece Atacar, Guardar, Patrullar, Mantener, Detener y las órdenes de constructor y comandante. Un marcador muestra adónde van las tropas y el cartel sobre la cuadrícula confirma cada orden, o explica por qué fue rechazada."
"Spearmen hold a line, archers punish from behind it, cavalry breaks flanks, healers mend nearby wounded on their own. Right-click and drag with several units selected to deploy them in a formation that faces the drag; the Formation order opens the same planner where they stand. Run trades stamina for speed.","Los lanceros mantienen una línea, los arqueros castigan desde detrás, la caballería rompe los flancos, los sanadores curan por su cuenta a los heridos cercanos. Con varias unidades seleccionadas, haz clic derecho y arrastra para desplegarlas en una formación orientada hacia el arrastre; la orden Formación abre el mismo planificador donde están. Correr cambia resistencia por velocidad."
"Guard - hold a spot","Guardia: mantener un punto"
"Press Guard, then left-click the ground the troops should hold. They fight anything that comes within about 10 m of that spot, let go of anything that runs past it, and walk back once the fight is over. Press Guard again, or give a move or attack order, to release them; Stop alone will not lift it. Any soldier can guard.","Pulsa Guardia y haz clic izquierdo en el suelo que las tropas deben mantener. Combaten todo lo que se acerque a unos 10 m de ese punto, sueltan a lo que pase de largo y regresan cuando termina el combate. Pulsa Guardia otra vez, o da una orden de movimiento o ataque, para soltarlas; Detener por sí solo no lo levanta. Cualquier soldado puede guardar."
"Hold - stand fast","Mantener: resistir"
"Press Hold and the troops kneel where they stand. They never take a step, but they reach further, hit harder and take more punishment than they would on the move, and braced spears gut a cavalry charge. That is the trade: pursuit for staying power. Press Hold again, or give a move, attack or Stop order, to stand them up. Only archers and spearmen can hold.","Pulsa Mantener y las tropas se arrodillan donde están. No dan un paso, pero alcanzan más lejos, golpean más fuerte y aguantan más que en movimiento, y las lanzas afirmadas destrozan una carga de caballería. Ese es el intercambio: persecución por resistencia. Pulsa Mantener otra vez, o da una orden de movimiento, ataque o Detener, para levantarlas. Solo arqueros y lanceros pueden mantener."
"Patrol - walk a beat","Patrulla: recorrer un trayecto"
"Press Patrol, left-click the first waypoint, then left-click the second. The troops march between the two points for good and attack whatever crosses the line - useful for watching a flank while you look elsewhere. Right-click cancels while you are setting it; any other order, or Stop, clears the route.","Pulsa Patrulla, haz clic izquierdo en el primer punto de ruta y luego en el segundo. Las tropas marchan entre los dos puntos de forma permanente y atacan todo lo que cruce la línea: útil para vigilar un flanco mientras miras a otra parte. El clic derecho cancela mientras la defines; cualquier otra orden, o Detener, borra la ruta."
"With the commander selected, Aura empowers his troops for a stretch and then has to recharge - each commander brings his own bonus, radius and timings, and the button prints them along with the time left. A glow marks every soldier inside the ring, the ring travels with him, and a wounded commander cannot call it. Rally plants a flag that your army marches to - useful for pulling a scattered force back into a line.","Con el comandante seleccionado, Aura potencia a sus tropas un tiempo y luego debe recargar: cada comandante aporta su propio bono, radio y tiempos, y el botón los muestra junto con el tiempo restante. Un brillo marca a cada soldado dentro del anillo, el anillo viaja con él y un comandante herido no puede invocarla. Reunir planta una bandera hacia la que marcha tu ejército: útil para volver a formar una fuerza dispersa."
"A damaged building can be repaired by a builder with the Repair order. A building you no longer need can be taken down with the Dismantle order: pick your builders, press Dismantle and click the building. Part of what it cost comes back once the work is done, and calling the crew off before then pays nothing.","Un edificio dañado puede repararlo un constructor con la orden Reparar. Un edificio que ya no necesitas se retira con la orden Desmontar: elige a tus constructores, pulsa Desmontar y haz clic en el edificio. Parte de lo que costó vuelve cuando el trabajo termina, y retirar a la cuadrilla antes no da nada."
"Food","Comida"
"Food feeds your settlement: every civilian recruited at a Home costs it. A Farm grows grain in cycles; when the field turns gold a builder reaps it with Collect and hauls the grain home, and the field is sown again. Builders can also slaughter a sheep for a smaller haul. Auto Gather set to food keeps a builder working the farms.","La comida alimenta tu asentamiento: cada civil reclutado en una casa la cuesta. Una granja cultiva grano por ciclos; cuando el campo se vuelve dorado, un constructor lo siega con Recolectar, lleva el grano a casa y el campo se siembra de nuevo. Los constructores también pueden sacrificar una oveja por una carga menor. La Recolección automática en comida mantiene a un constructor trabajando las granjas."
"Every card - recruit or building - lists its price. A grey card means something is short; hover it to read what. Homes cost 50 wood and 15 stone, a farm 40 wood and 10 stone, a barracks 100 wood and 60 stone, a defence tower 60 wood and 80 stone; soldiers cost wood and iron plus population, and civilians cost food.","Cada tarjeta, recluta o edificio, indica su precio. Una tarjeta gris significa que falta algo; pasa el cursor para leer qué. Las casas cuestan 50 de madera y 15 de piedra, una granja 40 de madera y 10 de piedra, un cuartel 100 de madera y 60 de piedra, una torre defensiva 60 de madera y 80 de piedra; los soldados cuestan madera y hierro más población, y los civiles cuestan comida."
"Barracks recruit soldiers and hold your stockpile yard. Homes raise families and civilians. Farms grow grain that builders reap for food. Defence towers shoot at anything in range. Marketplaces trade. Temples strengthen morale and take in healers. Walls and gates shape the field; gates open for your own troops.","Los cuarteles reclutan soldados y albergan tu almacén. Las casas crían familias y civiles. Las granjas cultivan grano que los constructores cosechan como comida. Las torres de defensa disparan a todo lo que esté a su alcance. Los mercados comercian. Los templos fortalecen la moral y acogen a los sanadores. Muros y puertas dan forma al campo; las puertas se abren para tus propias tropas."
"Left-click a barracks and pick a soldier; healers take their vows at a temple instead. Recruits queue up to five deep and march out to the rally flag. Each costs population from the building's own pool as well as materials.","Haz clic izquierdo en un cuartel y elige un soldado; los sanadores toman sus votos en un templo. Los reclutas se encolan hasta cinco y marchan hacia la bandera de reunión. Cada uno cuesta población de la reserva propia del edificio, además de materiales."
"A barracks or temple starts with a pool of population and spends it on every recruit. Homes refill it: each Home raises families over time, a civilian can be recruited there for food and sent to either building with Deliver, and that building's pool grows. The top bar shows your army against the map's overall cap.","Un cuartel o un templo empieza con una reserva de población y la gasta en cada recluta. Las casas la reponen: cada Casa cría familias con el tiempo, allí puede reclutarse un civil a cambio de comida y enviarse a cualquiera de los dos edificios con Entregar, y la reserva de ese edificio crece. La barra superior muestra tu ejército frente al límite total del mapa."
"Unbound","Sin asignar"
"Mouse Left","Ratón izq."
"Mouse Right","Ratón der."
"Mouse Middle","Ratón central"
"Mouse Back","Ratón atrás"
"Mouse Forward","Ratón adelante"
"%1 of %2","%1 de %2"
"Pick a target","Elige un objetivo"
"OK","OK"
"Battle Report","Informe de batalla"
"March the Campaign","Marchar a la campaña"
"The Campaign is Won","La campaña está ganada"
"Training Complete","Instrucción completada"
"Victory Secured","Victoria asegurada"
"Army Broken","Ejército quebrado"
"Every mission has fallen to your standard.","Todas las misiones han caído ante tu estandarte."
"Enemy command has fallen.","El mando enemigo ha caído."
"You can run an army now. The Barcid Road is waiting.","Ya sabes dirigir un ejército. El Camino Bárcida te espera."
"Your command has collapsed.","Tu mando se ha derrumbado."
"Search","Buscar"
"Selected units","Unidades seleccionadas"
"SELECTION","SELECCIÓN"
"SELECTED UNIT","UNIDAD SELECCIONADA"
"SELECTED FORCE","FUERZA SELECCIONADA"
"%1 soldiers ready","%1 soldados listos"
"1 unit","1 unidad"
"%1 units","%1 unidades"
"%1 units  ·  %2 types","%1 unidades  ·  %2 tipos"
"Drag a box over your troops, or click a unit","Arrastra un recuadro sobre tus tropas, o haz clic en una unidad"
"HEALTH","SALUD"
"%1%","%1%"
"STAMINA","AGUANTE"
"%1 wounded","%1 heridos"
"(mixed)","(mixta)"
"YOUR BUILDING","TU EDIFICIO"
"YOUR UNIT","TU UNIDAD"
"ENEMY BUILDING","EDIFICIO ENEMIGO"
"ENEMY UNIT","UNIDAD ENEMIGA"
"BUILDING","EDIFICIO"
"UNIT","UNIDAD"
"Under attack by %n of your units","Bajo ataque de %n de tus unidades | Bajo ataque de %n de tus unidades"
"Not engaged by your army","Tu ejército no lo está atacando"
"Under attack by %n enemies","Bajo ataque de %n enemigo | Bajo ataque de %n enemigos"
"Not under attack","No está bajo ataque"
"Enemy","Enemigo"
"Yours","Tuyo"
"Neutral","Neutral"
"%1 / %2","%1 / %2"
"ATK","ATQ"
"RNG","ALC"
"SPD","VEL"
"Show what this unit is for","Mostrar para qué sirve esta unidad"
"Unit details","Detalles de la unidad"
"Map load failed: %1","Error al cargar el mapa: %1"
"Prewarming templates: scanning unit profiles...","Precalentando plantillas: analizando perfiles de unidad..."
"Prewarming templates: %1 / %2","Precalentando plantillas: %1 / %2"
"Queued deferred template warmup (%1 additional)","Precalentamiento diferido de plantillas en cola (%1 adicionales)"
"Template warmup complete (%1 core, %2 total)","Precalentamiento de plantillas completado (%1 esenciales, %2 en total)"
"Template warmup cancelled","Precalentamiento de plantillas cancelado"
"Load Game","Cargar partida"
"Cancel","Cancelar"
